time_paris,vol_mean,count
2019-10-01 09:00:18+02:00,2.7395004422816972e-05,137
2019-10-01 09:00:19+02:00,2.0213586426851446e-05,58
2019-10-01 09:00:20+02:00,4.5597980954943804e-05,18
2019-10-01 09:00:21+02:00,1.256193738264639e-05,28
2019-10-01 09:00:22+02:00,0.0,3
2019-10-01 09:00:23+02:00,0.0,16
2019-10-01 09:00:24+02:00,5.621540966953855e-05,48
2019-10-01 09:00:25+02:00,0.0,4
2019-10-01 09:00:26+02:00,0.0,7
2019-10-01 09:00:27+02:00,0.0,6
2019-10-01 09:00:28+02:00,,0
2019-10-01 09:00:29+02:00,6.521753315647096e-06,18
2019-10-01 09:00:30+02:00,0.0,5
2019-10-01 09:00:31+02:00,0.0,4
2019-10-01 09:00:32+02:00,3.0503627628028843e-05,50
2019-10-01 09:00:33+02:00,1.8623742955141803e-05,63
2019-10-01 09:00:34+02:00,6.71051495456615e-05,112
2019-10-01 09:00:35+02:00,4.923316670302878e-05,62
2019-10-01 09:00:36+02:00,0.0,18
2019-10-01 09:00:37+02:00,6.203984444955673e-05,36
2019-10-01 09:00:38+02:00,0.0,18
2019-10-01 09:00:39+02:00,9.792401141824678e-06,24
2019-10-01 09:00:40+02:00,0.0,3
2019-10-01 09:00:41+02:00,0.0,2
2019-10-01 09:00:42+02:00,0.0,1
2019-10-01 09:00:43+02:00,,0
2019-10-01 09:00:44+02:00,,0
2019-10-01 09:00:45+02:00,,0
2019-10-01 09:00:46+02:00,,0
2019-10-01 09:00:47+02:00,,0
2019-10-01 09:00:48+02:00,,0
2019-10-01 09:00:49+02:00,,0
2019-10-01 09:00:50+02:00,0.0,6
2019-10-01 09:00:51+02:00,,0
2019-10-01 09:00:52+02:00,,0
2019-10-01 09:00:53+02:00,0.0,6
2019-10-01 09:00:54+02:00,0.0,8
2019-10-01 09:00:55+02:00,0.0,15
2019-10-01 09:00:56+02:00,0.0,12
2019-10-01 09:00:57+02:00,0.0,1
2019-10-01 09:00:58+02:00,,0
2019-10-01 09:00:59+02:00,,0
2019-10-01 09:01:00+02:00,0.0,2
2019-10-01 09:01:01+02:00,,0
2019-10-01 09:01:02+02:00,,0
2019-10-01 09:01:03+02:00,,0
2019-10-01 09:01:04+02:00,,0
2019-10-01 09:01:05+02:00,,0
2019-10-01 09:01:06+02:00,0.0,13
2019-10-01 09:01:07+02:00,,0
2019-10-01 09:01:08+02:00,,0
2019-10-01 09:01:09+02:00,,0
2019-10-01 09:01:10+02:00,,0
2019-10-01 09:01:11+02:00,,0
2019-10-01 09:01:12+02:00,0.0,1
2019-10-01 09:01:13+02:00,,0
2019-10-01 09:01:14+02:00,,0
2019-10-01 09:01:15+02:00,,0
2019-10-01 09:01:16+02:00,,0
2019-10-01 09:01:17+02:00,,0
2019-10-01 09:01:18+02:00,,0
2019-10-01 09:01:19+02:00,,0
2019-10-01 09:01:20+02:00,9.653721426297413e-06,73
2019-10-01 09:01:21+02:00,8.693120468857029e-06,108
2019-10-01 09:01:22+02:00,6.3391644242167845e-06,74
2019-10-01 09:01:23+02:00,6.011963835517313e-06,39
2019-10-01 09:01:24+02:00,0.0,5
2019-10-01 09:01:25+02:00,0.0,3
2019-10-01 09:01:26+02:00,0.0,2
2019-10-01 09:01:27+02:00,0.0,1
2019-10-01 09:01:28+02:00,0.0,1
2019-10-01 09:01:29+02:00,0.0,1
2019-10-01 09:01:30+02:00,0.0,3
2019-10-01 09:01:31+02:00,0.0,1
2019-10-01 09:01:32+02:00,0.0,1
2019-10-01 09:01:33+02:00,,0
2019-10-01 09:01:34+02:00,2.549043082634944e-05,92
2019-10-01 09:01:35+02:00,0.0,8
2019-10-01 09:01:36+02:00,3.394662672765955e-05,38
2019-10-01 09:01:37+02:00,0.0,6
