bucket,rlop_ask_mean,rlop_bid_mean,vol_bid_mean,vol_ask_mean,spread_mean,imbalance_ob_mean,bid_depth_mean,ask_depth_mean,imb_of,limit_new_bid_count,limit_new_ask_count,cancel_bid_count,cancel_ask_count,trade_count,signed_volume,abs_signed_volume,rlop_ask_mean_lag1,rlop_ask_mean_lag2,rlop_ask_mean_lag5,rlop_bid_mean_lag1,rlop_bid_mean_lag2,rlop_bid_mean_lag5,vol_bid_mean_lag1,vol_bid_mean_lag2,vol_bid_mean_lag5,vol_ask_mean_lag1,vol_ask_mean_lag2,vol_ask_mean_lag5,spread_mean_lag1,spread_mean_lag2,spread_mean_lag5,imbalance_ob_mean_lag1,imbalance_ob_mean_lag2,imbalance_ob_mean_lag5,bid_depth_mean_lag1,bid_depth_mean_lag2,bid_depth_mean_lag5,ask_depth_mean_lag1,ask_depth_mean_lag2,ask_depth_mean_lag5,imb_of_lag1,imb_of_lag2,imb_of_lag5,limit_new_bid_count_lag1,limit_new_bid_count_lag2,limit_new_bid_count_lag5,limit_new_ask_count_lag1,limit_new_ask_count_lag2,limit_new_ask_count_lag5,cancel_bid_count_lag1,cancel_bid_count_lag2,cancel_bid_count_lag5,cancel_ask_count_lag1,cancel_ask_count_lag2,cancel_ask_count_lag5,trade_count_lag1,trade_count_lag2,trade_count_lag5,signed_volume_lag1,signed_volume_lag2,signed_volume_lag5,abs_signed_volume_lag1,abs_signed_volume_lag2,abs_signed_volume_lag5
2019-10-01 07:15:00+00:00,0.1714925373134333,0.0790058479532161,1.010522915577837e-05,1.1271818725268416e-05,0.0271312217194571,0.1531729147597683,362.04615384615386,199.7049773755656,-0.2404402163775415,266,226,276,337,109.0,-3867.0,16083.0,0.175555555555555,0.2936764705882352,0.3330693069306941,0.1005468749999976,0.0645454545454516,0.0771276595744677,4.36032866814102e-06,5.240353016854264e-06,5.311418962453861e-06,5.721848108278447e-06,5.466570449713759e-06,5.531117187760264e-06,0.0241367323290869,0.0261240310077528,0.02024482109228,-0.1057487067170263,-0.1449503154452197,-0.212675560204057,198.82850521436848,203.58333333333331,93.01694915254237,226.75086906141368,264.6453488372093,166.51224105461392,-0.6737527114967462,-0.2648870636550308,0.0412213740458015,163.0,137.0,112.0,230.0,99.0,138.0,194.0,125.0,113.0,273.0,154.0,168.0,36.0,15.0,33.0,-1553.0,-258.0,81.0,2305.0,974.0,1965.0
2019-10-01 07:16:00+00:00,0.1699230769230754,0.0729357798165129,1.0922975886264003e-05,7.979788756027532e-06,0.0246126340882017,0.003330753638622,251.8474374255065,232.9570917759237,-0.1869882717415357,200,203,225,211,47.0,-845.0,4519.0,0.1714925373134333,0.175555555555555,0.2479775280898854,0.0790058479532161,0.1005468749999976,0.0658000000000025,1.010522915577837e-05,4.36032866814102e-06,4.147103273547563e-06,1.1271818725268416e-05,5.721848108278447e-06,7.697886767425714e-06,0.0271312217194571,0.0241367323290869,0.0275126050420167,0.1531729147597683,-0.1057487067170263,-0.1199011268206495,362.04615384615386,198.82850521436848,182.618487394958,199.7049773755656,226.75086906141368,269.77142857142854,-0.2404402163775415,-0.6737527114967462,0.1514657980456026,266.0,163.0,127.0,226.0,230.0,148.0,276.0,194.0,139.0,337.0,273.0,181.0,109.0,36.0,17.0,-3867.0,-1553.0,186.0,16083.0,2305.0,1228.0
2019-10-01 07:17:00+00:00,0.2254651162790684,0.0714000000000019,4.350819431000154e-06,7.612030991914638e-06,0.0258243451463785,-0.0723933088721845,262.080123266564,272.6086286594761,0.2543672773753728,152,138,148,211,31.0,597.0,2347.0,0.1699230769230754,0.1714925373134333,0.4372222222222235,0.0729357798165129,0.0790058479532161,0.0719417475728161,1.0922975886264003e-05,1.010522915577837e-05,8.174642187346191e-06,7.979788756027532e-06,1.1271818725268416e-05,5.059264038435761e-06,0.0246126340882017,0.0271312217194571,0.0206456953642359,0.003330753638622,0.1531729147597683,-0.0292404539906619,251.8474374255065,362.04615384615386,158.2433774834437,232.9570917759237,199.7049773755656,161.4586092715232,-0.1869882717415357,-0.2404402163775415,-0.2544014084507042,200.0,266.0,139.0,203.0,226.0,132.0,225.0,276.0,155.0,211.0,337.0,178.0,47.0,109.0,32.0,-845.0,-3867.0,-578.0,4519.0,16083.0,2272.0
2019-10-01 07:18:00+00:00,0.2674157303370789,0.1255681818181796,4.050270112658853e-06,5.400443390700163e-06,0.0213770491803286,-0.0569651693736527,280.044262295082,281.51803278688527,-0.4355573974305843,122,155,167,166,29.0,-1051.0,2413.0,0.2254651162790684,0.1699230769230754,0.2936764705882352,0.0714000000000019,0.0729357798165129,0.0645454545454516,4.350819431000154e-06,1.0922975886264003e-05,5.240353016854264e-06,7.612030991914638e-06,7.979788756027532e-06,5.466570449713759e-06,0.0258243451463785,0.0246126340882017,0.0261240310077528,-0.0723933088721845,0.003330753638622,-0.1449503154452197,262.080123266564,251.8474374255065,203.58333333333331,272.6086286594761,232.9570917759237,264.6453488372093,0.2543672773753728,-0.1869882717415357,-0.2648870636550308,152.0,200.0,137.0,138.0,203.0,99.0,148.0,225.0,125.0,211.0,211.0,154.0,31.0,47.0,15.0,597.0,-845.0,-258.0,2347.0,4519.0,974.0
2019-10-01 07:19:00+00:00,0.2489156626506017,0.1050495049504958,5.641532732340638e-06,5.811085163193323e-06,0.0221190130624097,0.0411673539540529,293.56168359941944,270.0740203193033,-0.2372178719484108,176,135,191,187,57.0,-1030.0,4342.0,0.2674157303370789,0.2254651162790684,0.175555555555555,0.1255681818181796,0.0714000000000019,0.1005468749999976,4.050270112658853e-06,4.350819431000154e-06,4.36032866814102e-06,5.400443390700163e-06,7.612030991914638e-06,5.721848108278447e-06,0.0213770491803286,0.0258243451463785,0.0241367323290869,-0.0569651693736527,-0.0723933088721845,-0.1057487067170263,280.044262295082,262.080123266564,198.82850521436848,281.51803278688527,272.6086286594761,226.75086906141368,-0.4355573974305843,0.2543672773753728,-0.6737527114967462,122.0,152.0,163.0,155.0,138.0,230.0,167.0,148.0,194.0,166.0,211.0,273.0,29.0,31.0,36.0,-1051.0,597.0,-1553.0,2413.0,2347.0,2305.0
2019-10-01 07:20:00+00:00,0.1582300884955745,0.0774100719424466,1.1345194577293e-05,3.737826243668381e-06,0.0229431072210072,-0.100612856748743,278.3391684901532,341.01422319474835,-0.5299043062200957,228,181,253,252,112.0,-6202.0,11704.0,0.2489156626506017,0.2674157303370789,0.1714925373134333,0.1050495049504958,0.1255681818181796,0.0790058479532161,5.641532732340638e-06,4.050270112658853e-06,1.010522915577837e-05,5.811085163193323e-06,5.400443390700163e-06,1.1271818725268416e-05,0.0221190130624097,0.0213770491803286,0.0271312217194571,0.0411673539540529,-0.0569651693736527,0.1531729147597683,293.56168359941944,280.044262295082,362.04615384615386,270.0740203193033,281.51803278688527,199.7049773755656,-0.2372178719484108,-0.4355573974305843,-0.2404402163775415,176.0,122.0,266.0,135.0,155.0,226.0,191.0,167.0,276.0,187.0,166.0,337.0,57.0,29.0,109.0,-1030.0,-1051.0,-3867.0,4342.0,2413.0,16083.0
2019-10-01 07:21:00+00:00,0.120506329113918,0.087399999999998,9.117843594498494e-06,6.330607260885376e-06,0.0210107526881757,-0.0228348557698007,272.7784946236559,261.4516129032258,0.0335877862595419,102,118,129,116,35.0,88.0,2620.0,0.1582300884955745,0.2489156626506017,0.1699230769230754,0.0774100719424466,0.1050495049504958,0.0729357798165129,1.1345194577293e-05,5.641532732340638e-06,1.0922975886264003e-05,3.737826243668381e-06,5.811085163193323e-06,7.979788756027532e-06,0.0229431072210072,0.0221190130624097,0.0246126340882017,-0.100612856748743,0.0411673539540529,0.003330753638622,278.3391684901532,293.56168359941944,251.8474374255065,341.01422319474835,270.0740203193033,232.9570917759237,-0.5299043062200957,-0.2372178719484108,-0.1869882717415357,228.0,176.0,200.0,181.0,135.0,203.0,253.0,191.0,225.0,252.0,187.0,211.0,112.0,57.0,47.0,-6202.0,-1030.0,-845.0,11704.0,4342.0,4519.0
2019-10-01 07:22:00+00:00,0.1665420560747663,0.0871084337349385,5.882173098644618e-06,6.064161233610296e-06,0.0263650546021859,0.0174927838410043,281.1450858034321,245.73634945397816,0.1018301267010793,149,150,153,189,23.0,217.0,2131.0,0.120506329113918,0.1582300884955745,0.2254651162790684,0.087399999999998,0.0774100719424466,0.0714000000000019,9.117843594498494e-06,1.1345194577293e-05,4.350819431000154e-06,6.330607260885376e-06,3.737826243668381e-06,7.612030991914638e-06,0.0210107526881757,0.0229431072210072,0.0258243451463785,-0.0228348557698007,-0.100612856748743,-0.0723933088721845,272.7784946236559,278.3391684901532,262.080123266564,261.4516129032258,341.01422319474835,272.6086286594761,0.0335877862595419,-0.5299043062200957,0.2543672773753728,102.0,228.0,152.0,118.0,181.0,138.0,129.0,253.0,148.0,116.0,252.0,211.0,35.0,112.0,31.0,88.0,-6202.0,597.0,2620.0,11704.0,2347.0
2019-10-01 07:23:00+00:00,0.1892307692307702,0.1118584070796457,6.695339524644782e-06,3.73560742869432e-06,0.0223910171730514,-0.1549527648679924,223.9101717305152,371.43857331572,-0.0612244897959183,161,193,195,208,29.0,-147.0,2401.0,0.1665420560747663,0.120506329113918,0.2674157303370789,0.0871084337349385,0.087399999999998,0.1255681818181796,5.882173098644618e-06,9.117843594498494e-06,4.050270112658853e-06,6.064161233610296e-06,6.330607260885376e-06,5.400443390700163e-06,0.0263650546021859,0.0210107526881757,0.0213770491803286,0.0174927838410043,-0.0228348557698007,-0.0569651693736527,281.1450858034321,272.7784946236559,280.044262295082,245.73634945397816,261.4516129032258,281.51803278688527,0.1018301267010793,0.0335877862595419,-0.4355573974305843,149.0,102.0,122.0,150.0,118.0,155.0,153.0,129.0,167.0,189.0,116.0,166.0,23.0,35.0,29.0,217.0,88.0,-1051.0,2131.0,2620.0,2413.0
2019-10-01 07:24:00+00:00,0.0659701492537285,0.1802631578947351,3.840082541892558e-06,5.210570221826744e-06,0.0208604651162812,-0.1674813798110986,185.67441860465115,336.1372093023256,0.6264929424538545,108,94,92,136,11.0,577.0,921.0,0.1892307692307702,0.1665420560747663,0.2489156626506017,0.1118584070796457,0.0871084337349385,0.1050495049504958,6.695339524644782e-06,5.882173098644618e-06,5.641532732340638e-06,3.73560742869432e-06,6.064161233610296e-06,5.811085163193323e-06,0.0223910171730514,0.0263650546021859,0.0221190130624097,-0.1549527648679924,0.0174927838410043,0.0411673539540529,223.9101717305152,281.1450858034321,293.56168359941944,371.43857331572,245.73634945397816,270.0740203193033,-0.0612244897959183,0.1018301267010793,-0.2372178719484108,161.0,149.0,176.0,193.0,150.0,135.0,195.0,153.0,191.0,208.0,189.0,187.0,29.0,23.0,57.0,-147.0,217.0,-1030.0,2401.0,2131.0,4342.0
