time_paris,vol_mean,count
2019-10-01 09:00:10+02:00,2.5258992916324662e-05,195
2019-10-01 09:00:20+02:00,2.6947494106233686e-05,148
2019-10-01 09:00:30+02:00,4.014072015271705e-05,392
2019-10-01 09:00:40+02:00,0.0,6
2019-10-01 09:00:50+02:00,0.0,48
2019-10-01 09:01:00+02:00,0.0,15
2019-10-01 09:01:10+02:00,0.0,1
2019-10-01 09:01:20+02:00,7.645418344408754e-06,307
2019-10-01 09:01:30+02:00,2.2590594749894582e-05,270
2019-10-01 09:01:40+02:00,7.575872396519854e-06,31
2019-10-01 09:01:50+02:00,,0
2019-10-01 09:02:00+02:00,4.633877398427206e-06,76
2019-10-01 09:02:10+02:00,5.588762123540278e-06,21
2019-10-01 09:02:20+02:00,1.467050057430816e-05,8
2019-10-01 09:02:30+02:00,0.0,14
2019-10-01 09:02:40+02:00,0.0,3
2019-10-01 09:02:50+02:00,7.724035875956124e-06,76
2019-10-01 09:03:00+02:00,1.437700842048771e-05,49
2019-10-01 09:03:10+02:00,0.0,31
2019-10-01 09:03:20+02:00,1.0479790150312487e-05,112
2019-10-01 09:03:30+02:00,1.437278958354825e-05,49
2019-10-01 09:03:40+02:00,1.844173462968646e-05,70
2019-10-01 09:03:50+02:00,2.1195234786473554e-05,227
2019-10-01 09:04:00+02:00,6.517927567220951e-06,36
2019-10-01 09:04:10+02:00,0.0,2
2019-10-01 09:04:20+02:00,0.0,4
2019-10-01 09:04:30+02:00,0.0,16
2019-10-01 09:04:40+02:00,0.0,15
2019-10-01 09:04:50+02:00,1.3694840262435684e-05,180
2019-10-01 09:05:00+02:00,8.543920471602708e-06,165
2019-10-01 09:05:10+02:00,,0
2019-10-01 09:05:20+02:00,7.760732683024984e-06,106
2019-10-01 09:05:30+02:00,1.1613428518248336e-05,243
2019-10-01 09:05:40+02:00,8.669305590720061e-06,122
2019-10-01 09:05:50+02:00,1.9645854598589695e-05,484
2019-10-01 09:06:00+02:00,1.0804951440282271e-05,228
2019-10-01 09:06:10+02:00,1.1886351372534837e-05,148
2019-10-01 09:06:20+02:00,4.788400688278808e-06,147
2019-10-01 09:06:30+02:00,9.94797066438866e-06,118
2019-10-01 09:06:40+02:00,1.8340278206391974e-06,64
2019-10-01 09:06:50+02:00,9.454724274854895e-06,149
2019-10-01 09:07:00+02:00,5.505961228178492e-06,128
2019-10-01 09:07:10+02:00,7.340889718073814e-06,176
2019-10-01 09:07:20+02:00,6.087378152535066e-06,135
2019-10-01 09:07:30+02:00,1.2762050093695967e-05,138
2019-10-01 09:07:40+02:00,6.324265830893448e-06,130
2019-10-01 09:07:50+02:00,9.035037549164798e-06,143
2019-10-01 09:08:00+02:00,1.1741545629074776e-05,150
2019-10-01 09:08:10+02:00,6.668252880826059e-06,88
2019-10-01 09:08:20+02:00,6.956843289303603e-06,135
2019-10-01 09:08:30+02:00,1.4083680551328667e-05,50
2019-10-01 09:08:40+02:00,1.0670394230847409e-05,44
2019-10-01 09:08:50+02:00,1.4984397513310511e-05,47
2019-10-01 09:09:00+02:00,1.544371975662064e-05,38
2019-10-01 09:09:10+02:00,1.0674466548014194e-05,198
2019-10-01 09:09:20+02:00,1.8066956443999683e-05,78
2019-10-01 09:09:30+02:00,2.0133032162093418e-05,140
2019-10-01 09:09:40+02:00,6.10238197317566e-06,77
2019-10-01 09:09:50+02:00,6.526350146182941e-06,72
2019-10-01 09:10:00+02:00,5.778442967358553e-06,122
2019-10-01 09:10:10+02:00,2.0437516149985746e-06,115
2019-10-01 09:10:20+02:00,1.7805411797327237e-06,66
2019-10-01 09:10:30+02:00,1.3057301984713115e-05,18
2019-10-01 09:10:40+02:00,8.487860209636514e-06,180
2019-10-01 09:10:50+02:00,0.0,30
2019-10-01 09:11:00+02:00,6.427288237812253e-06,128
2019-10-01 09:11:10+02:00,0.0,21
2019-10-01 09:11:20+02:00,4.7962781102814755e-06,49
2019-10-01 09:11:30+02:00,2.97385835333862e-06,158
2019-10-01 09:11:40+02:00,5.463600230553658e-06,86
2019-10-01 09:11:50+02:00,3.0723966422408893e-06,153
2019-10-01 09:12:00+02:00,6.5313801654438976e-06,162
2019-10-01 09:12:10+02:00,7.099377309057404e-06,149
2019-10-01 09:12:20+02:00,0.0,27
2019-10-01 09:12:30+02:00,0.0,26
2019-10-01 09:12:40+02:00,1.2932117294753357e-05,200
