bucket,rlop_bid_mean,rlop_bid_p90,rlop_bid_count,rlop_ask_mean,rlop_ask_p90,rlop_ask_count,vol_bid_mean,vol_bid_p90,vol_bid_count,vol_ask_mean,vol_ask_p90,vol_ask_count,trade_count,trade_volume,signed_volume,abs_signed_volume,imb_of,spread_mean,mid_mean,bid_depth_mean,ask_depth_mean,imbalance_ob_mean,limit_new_bid_count,limit_new_ask_count,cancel_bid_count,cancel_ask_count
2019-10-01 07:00:00+00:00,0.13365325077399431,0.22800000000000584,323.0,0.2882770270270264,0.4500000000000028,296.0,1.9104376970065652e-05,0.0,2402,1.7779266830329544e-05,0.0,2427,354.0,56167.0,551.0,27971.0,0.019698973937292197,0.06669028761984147,85.24139849937474,240.6148395164652,251.59649854105876,0.06907755938252101,636,448,741,497
2019-10-01 07:05:00+00:00,0.12354316546762643,0.4499999999999886,556.0,0.3116530278232396,0.4599999999999937,611.0,1.0904432788878153e-05,0.0,3941,1.0423458897455925e-05,0.0,3941,260.0,20342.0,708.0,20342.0,0.03480483728246977,0.03179142349657497,85.17967140319716,173.87465110378076,164.1479319969551,0.05144501889816726,863,901,1037,1139
2019-10-01 07:10:00+00:00,0.07702803738317693,0.1799999999999926,535.0,0.2872256728778467,0.44000000000000905,483.0,5.369044578733805e-06,0.0,3109,5.896354648449919e-06,0.0,3109,133.0,8744.0,-2122.0,8744.0,-0.24268069533394326,0.023769700868446958,85.07892891605019,170.55870054679963,218.3004181408813,-0.11836237497701116,678,747,726,954
2019-10-01 07:15:00+00:00,0.08833040421792612,0.1800000000000068,569.0,0.20865900383141708,0.4299999999999926,522.0,7.582738339602852e-06,0.0,3892,8.064932866713411e-06,0.0,3892,273.0,29704.0,-6196.0,29704.0,-0.20859143549690276,0.02458119218910635,85.02481372045222,296.6449126413155,244.3101233299075,0.030494056837285326,916,857,1007,1112
2019-10-01 07:20:00+00:00,0.10563991323210355,0.269999999999996,461.0,0.15068762278978273,0.1799999999999926,509.0,7.826437662765419e-06,0.0,3207,4.775688472926692e-06,0.0,3207,210.0,19777.0,-5467.0,19777.0,-0.27643221924457706,0.022937324602433546,84.86679451200499,252.82132834424695,316.9619582164016,-0.0875215843102798,748,736,822,901
2019-10-01 07:25:00+00:00,0.07853658536585352,0.1800000000000068,410.0,0.1323311546840967,0.1400000000000005,459.0,5.345262239923234e-06,0.0,2802,5.680599220777266e-06,0.0,2802,134.0,10382.0,1072.0,10382.0,0.10325563475245618,0.023001427551747545,84.80382405424697,244.80692362598145,237.8547466095646,-0.01705014524905017,594,719,643,846
2019-10-01 07:30:00+00:00,0.09851174934726027,0.2600000000000051,383.0,0.15043478260869642,0.1400000000000005,414.0,4.8278634794351955e-06,0.0,2739,4.0512613906718144e-06,0.0,2739,129.0,8105.0,2835.0,8105.0,0.34978408389882787,0.02313618108798519,84.69775648046732,230.99890470974807,301.36619204089084,-0.09904242725769634,559,733,586,859
2019-10-01 07:35:00+00:00,0.09100686498855957,0.3140000000000137,437.0,0.17822500000000022,0.1799999999999926,400.0,4.193858312456144e-06,0.0,2962,4.552344266105705e-06,0.0,2962,155.0,12647.0,113.0,12647.0,0.008934925278722227,0.02121877110060633,84.53735145172182,215.87474679270764,299.1387575962188,-0.13019809806200788,613,752,631,964
2019-10-01 07:40:00+00:00,0.06707317073170772,0.1700000000000017,287.0,0.17792284866468897,0.1800000000000068,337.0,5.272904815013764e-06,0.0,2107,3.9808444900547695e-06,0.0,2107,73.0,6339.0,-1259.0,6339.0,-0.1986117684177315,0.02672520170859014,84.62450640721404,295.90650213573804,299.69102990033224,-0.01724091307340322,500,482,577,543
2019-10-01 07:45:00+00:00,0.08165517241379189,0.1799999999999926,435.0,0.15997555012224898,0.2100000000000079,409.0,6.286073228934772e-06,0.0,2689,5.800874378030755e-06,0.0,2689,82.0,6225.0,-959.0,6225.0,-0.1540562248995984,0.02377091855708565,84.6089698772778,271.75604313871327,257.5515061361101,0.012583709931345789,658,620,712,699
