time_paris,delta_mean,count
2019-10-01 10:39:00+02:00,0.056769230769233354,65
2019-10-01 10:40:00+02:00,0.07585858585858533,99
2019-10-01 10:41:00+02:00,0.04385964912280664,114
2019-10-01 10:42:00+02:00,0.06509803921568502,51
2019-10-01 10:43:00+02:00,0.08202531645569337,79
2019-10-01 10:44:00+02:00,0.05372549019607861,51
2019-10-01 10:45:00+02:00,0.09592592592592632,54
2019-10-01 10:46:00+02:00,0.06245901639344592,61
2019-10-01 10:47:00+02:00,0.058595041322316195,121
2019-10-01 10:48:00+02:00,0.05374999999999943,120
2019-10-01 10:49:00+02:00,0.07192982456140216,57
2019-10-01 10:50:00+02:00,0.05884615384615152,78
2019-10-01 10:51:00+02:00,0.051698113207544125,53
2019-10-01 10:52:00+02:00,0.047454545454545444,55
2019-10-01 10:53:00+02:00,0.06642857142856806,70
2019-10-01 10:54:00+02:00,0.06142857142856982,77
2019-10-01 10:55:00+02:00,0.07786666666666728,75
2019-10-01 10:56:00+02:00,0.04714285714285893,21
2019-10-01 10:57:00+02:00,0.07058823529411781,51
2019-10-01 10:58:00+02:00,0.08204301075268797,93
2019-10-01 10:59:00+02:00,0.05178082191781155,73
2019-10-01 11:00:00+02:00,0.06410256410256046,78
2019-10-01 11:01:00+02:00,0.06852459016393593,61
2019-10-01 11:02:00+02:00,0.06325581395348719,86
2019-10-01 11:03:00+02:00,0.07885245901639394,61
2019-10-01 11:04:00+02:00,0.05362500000000079,80
2019-10-01 11:05:00+02:00,0.04958333333333304,72
2019-10-01 11:06:00+02:00,0.056203703703704824,108
2019-10-01 11:07:00+02:00,0.056999999999997185,60
2019-10-01 11:08:00+02:00,0.07309523809523928,42
2019-10-01 11:09:00+02:00,0.0469565217391319,46
2019-10-01 11:10:00+02:00,0.07774193548386948,93
2019-10-01 11:11:00+02:00,0.08803278688524295,61
2019-10-01 11:12:00+02:00,0.09015873015873208,63
2019-10-01 11:13:00+02:00,0.06173333333333498,75
2019-10-01 11:14:00+02:00,0.05048192771084283,83
2019-10-01 11:15:00+02:00,0.18317073170731776,123
2019-10-01 11:16:00+02:00,0.05271739130434622,92
2019-10-01 11:17:00+02:00,0.06959999999999965,100
2019-10-01 11:18:00+02:00,0.07776595744680899,94
2019-10-01 11:19:00+02:00,0.04555555555555833,36
2019-10-01 11:20:00+02:00,0.05285714285714554,35
2019-10-01 11:21:00+02:00,0.09200000000000254,45
2019-10-01 11:22:00+02:00,0.06068965517241691,29
2019-10-01 11:23:00+02:00,0.08684210526315819,57
2019-10-01 11:24:00+02:00,0.09099999999999966,40
2019-10-01 11:25:00+02:00,0.07629629629629875,108
