time_paris,kl_dynamic_vs_reference
2019-10-01 09:59:00+02:00,0.1618635642469929
2019-10-01 10:00:00+02:00,0.1785825978635972
2019-10-01 10:01:00+02:00,0.18192019726472752
2019-10-01 10:02:00+02:00,0.22322294633637574
2019-10-01 10:03:00+02:00,0.2404677673260474
2019-10-01 10:04:00+02:00,0.23017834056056496
2019-10-01 10:05:00+02:00,0.18923112160120242
2019-10-01 10:06:00+02:00,0.22765045737692186
2019-10-01 10:07:00+02:00,0.26053375560241293
2019-10-01 10:08:00+02:00,0.3061536979698246
2019-10-01 10:09:00+02:00,0.2657971881622872
2019-10-01 10:10:00+02:00,0.3154108714283641
2019-10-01 10:11:00+02:00,0.29765190211887166
2019-10-01 10:12:00+02:00,0.2777857856592344
2019-10-01 10:13:00+02:00,0.1962554722958983
2019-10-01 10:14:00+02:00,0.24346710712434438
2019-10-01 10:15:00+02:00,0.28391333949011643
2019-10-01 10:16:00+02:00,0.24780655622729023
2019-10-01 10:17:00+02:00,0.23997917767352456
2019-10-01 10:18:00+02:00,0.2764157882948125
2019-10-01 10:19:00+02:00,0.8822367419328718
2019-10-01 10:20:00+02:00,1.0234922287630202
2019-10-01 10:21:00+02:00,0.9600672097328575
2019-10-01 10:22:00+02:00,0.9114589116731314
2019-10-01 10:23:00+02:00,0.7663533906464697
2019-10-01 10:24:00+02:00,0.8112419488400135
2019-10-01 10:25:00+02:00,0.789983784782756
2019-10-01 10:26:00+02:00,0.7062464792853749
2019-10-01 10:27:00+02:00,0.7675226325122988
2019-10-01 10:28:00+02:00,1.1103477375260775
2019-10-01 10:29:00+02:00,0.9395605934529887
2019-10-01 10:30:00+02:00,1.3372029887504644
2019-10-01 10:31:00+02:00,1.2385553404046872
2019-10-01 10:32:00+02:00,1.1558419157949582
2019-10-01 10:33:00+02:00,1.1485016092044864
2019-10-01 10:34:00+02:00,1.3986149775539756
2019-10-01 10:35:00+02:00,2.3432222712392825
2019-10-01 10:36:00+02:00,2.244057229480106
2019-10-01 10:37:00+02:00,2.158317270786507
2019-10-01 10:38:00+02:00,2.3732174186853356
2019-10-01 10:39:00+02:00,2.1424013917859317
2019-10-01 10:40:00+02:00,1.9158405628953172
2019-10-01 10:41:00+02:00,1.6858712534195333
2019-10-01 10:42:00+02:00,1.5581721473818975
2019-10-01 10:43:00+02:00,1.453282923046723
2019-10-01 10:44:00+02:00,1.362842890704627
2019-10-01 10:45:00+02:00,1.2960165902853544
2019-10-01 10:46:00+02:00,1.2416536895654509
2019-10-01 10:47:00+02:00,1.6152658716618857
2019-10-01 10:48:00+02:00,1.3677548065612053
2019-10-01 10:49:00+02:00,1.4310229751316654
2019-10-01 10:50:00+02:00,1.2694058137532682
2019-10-01 10:51:00+02:00,1.2779140901716644
2019-10-01 10:52:00+02:00,1.2649842867372623
2019-10-01 10:53:00+02:00,1.3443136523013686
2019-10-01 10:54:00+02:00,1.2155091770471236
2019-10-01 10:55:00+02:00,1.2075250840479477
2019-10-01 10:56:00+02:00,2.619658050901955
2019-10-01 10:57:00+02:00,2.4316399933164248
2019-10-01 10:58:00+02:00,2.701768515831507
2019-10-01 10:59:00+02:00,2.540367998913166
2019-10-01 11:00:00+02:00,2.406898652680529
2019-10-01 11:01:00+02:00,2.3637315848979985
2019-10-01 11:02:00+02:00,2.270591212673402
2019-10-01 11:03:00+02:00,2.832515768554648
2019-10-01 11:04:00+02:00,2.7130215324549507
2019-10-01 11:05:00+02:00,2.6236719991956847
