time_paris,kl_observed,kl_pointwise_threshold_95,pointwise_p_value,is_pointwise_significant_95,kl_global_threshold_95,is_global_significant_95
2019-10-01 09:59:00+02:00,0.10714427958292305,0.10714427958292305,1.0,False,0.7108707217255417,False
2019-10-01 10:00:00+02:00,0.11500095268525995,0.1645617207141,0.5920398009950248,False,0.7108707217255417,False
2019-10-01 10:01:00+02:00,0.12743332553925407,0.1968655374690255,0.5472636815920398,False,0.7108707217255417,False
2019-10-01 10:02:00+02:00,0.14950519926179792,0.2208743414912758,0.472636815920398,False,0.7108707217255417,False
2019-10-01 10:03:00+02:00,0.16473732322163936,0.23403995710275352,0.32338308457711445,False,0.7108707217255417,False
2019-10-01 10:04:00+02:00,0.21744283017454683,0.23407517950413853,0.07462686567164178,False,0.7108707217255417,False
2019-10-01 10:05:00+02:00,0.22167210203050666,0.2432728260259477,0.0945273631840796,False,0.7108707217255417,False
2019-10-01 10:06:00+02:00,0.28560630138165166,0.2626119992040203,0.04477611940298507,True,0.7108707217255417,False
2019-10-01 10:07:00+02:00,0.27715396222117017,0.2770269273486373,0.05472636815920398,True,0.7108707217255417,False
2019-10-01 10:08:00+02:00,0.28030680173462097,0.2718325491343856,0.04477611940298507,True,0.7108707217255417,False
2019-10-01 10:09:00+02:00,0.2563680483021852,0.31548844837798007,0.08955223880597014,False,0.7108707217255417,False
2019-10-01 10:10:00+02:00,0.26558377994619653,0.29830650596257874,0.08955223880597014,False,0.7108707217255417,False
2019-10-01 10:11:00+02:00,0.2956398258575953,0.2729569114356392,0.04477611940298507,True,0.7108707217255417,False
2019-10-01 10:12:00+02:00,0.3622604209387663,0.30140873570954035,0.024875621890547265,True,0.7108707217255417,False
2019-10-01 10:13:00+02:00,0.38902022945767545,0.28452765071969455,0.014925373134328358,True,0.7108707217255417,False
2019-10-01 10:14:00+02:00,0.4641689190063978,0.28140691311028077,0.009950248756218905,True,0.7108707217255417,False
2019-10-01 10:15:00+02:00,0.4459967536629114,0.2703634226099513,0.009950248756218905,True,0.7108707217255417,False
2019-10-01 10:16:00+02:00,0.5044571152066384,0.27254271983857736,0.004975124378109453,True,0.7108707217255417,False
2019-10-01 10:17:00+02:00,1.670591510008779,0.30177638876032975,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:18:00+02:00,1.5892377245215736,0.3179737829335658,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:19:00+02:00,1.5188185596115482,0.3143088101490086,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:20:00+02:00,1.4968655394110209,0.3115614587773342,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:21:00+02:00,1.4042601471053118,0.3014360165449491,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:22:00+02:00,1.2690691770012983,0.3234285572648419,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:23:00+02:00,1.2763160094625687,0.32827641013079656,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:24:00+02:00,1.128576810715757,0.3148269873131249,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:25:00+02:00,1.0071546805023883,0.289261584996134,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:26:00+02:00,3.7025827540818277,0.289829108813787,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:27:00+02:00,6.12813310315595,0.28523435744899395,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:28:00+02:00,5.716694902087036,0.31293446902722544,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:29:00+02:00,5.131915789154353,0.28998218188347574,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:30:00+02:00,4.667871483896134,0.30748804850291395,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:31:00+02:00,4.281396444520164,0.3419759428468286,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:32:00+02:00,3.921147008895506,0.3564950164107344,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:33:00+02:00,3.5453661918787134,0.3305024696372821,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:34:00+02:00,3.2923646601360357,0.33182325951668346,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:35:00+02:00,3.096526484245959,0.36021250576762254,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:36:00+02:00,2.9349216982682007,0.3259007888227836,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:37:00+02:00,2.7858362112129145,0.31463690117475956,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:38:00+02:00,2.533180640150217,0.3195152725822106,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:39:00+02:00,2.391029049264848,0.3029716374274722,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:40:00+02:00,2.0984450829868657,0.2940356592083725,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:41:00+02:00,2.0473996629007276,0.30366423980086305,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:42:00+02:00,1.8842983516789067,0.29420024325828326,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:43:00+02:00,1.6227720331011506,0.30290190756289703,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:44:00+02:00,1.5839494530404719,0.31676002436852285,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:45:00+02:00,1.307179977336904,0.31524784438165493,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:46:00+02:00,1.2351864209571897,0.3379071280212368,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:47:00+02:00,1.2081702330932789,0.38013398976791446,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:48:00+02:00,1.2185823090965981,0.3604479107200925,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:49:00+02:00,1.0865197430183822,0.34214518731016114,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:50:00+02:00,1.082247416003923,0.30881356713338476,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:51:00+02:00,1.115573405351879,0.33161226270327343,0.004975124378109453,True,0.7108707217255417,True
2019-10-01 10:52:00+02:00,1.1577627412493592,0.3386904929485437,0.004975124378109453,True,0.7108707217255417,True
