time_paris,kl_dynamic_vs_reference
2019-10-01 09:59:00+02:00,0.10714427958292305
2019-10-01 10:00:00+02:00,0.11500095268525995
2019-10-01 10:01:00+02:00,0.12743332553925407
2019-10-01 10:02:00+02:00,0.14950519926179792
2019-10-01 10:03:00+02:00,0.16473732322163936
2019-10-01 10:04:00+02:00,0.21744283017454683
2019-10-01 10:05:00+02:00,0.22167210203050666
2019-10-01 10:06:00+02:00,0.28560630138165166
2019-10-01 10:07:00+02:00,0.27715396222117017
2019-10-01 10:08:00+02:00,0.28030680173462097
2019-10-01 10:09:00+02:00,0.2563680483021852
2019-10-01 10:10:00+02:00,0.26558377994619653
2019-10-01 10:11:00+02:00,0.2956398258575953
2019-10-01 10:12:00+02:00,0.3622604209387663
2019-10-01 10:13:00+02:00,0.38902022945767545
2019-10-01 10:14:00+02:00,0.4641689190063978
2019-10-01 10:15:00+02:00,0.4459967536629114
2019-10-01 10:16:00+02:00,0.5044571152066384
2019-10-01 10:17:00+02:00,1.670591510008779
2019-10-01 10:18:00+02:00,1.5892377245215736
2019-10-01 10:19:00+02:00,1.5188185596115482
2019-10-01 10:20:00+02:00,1.4968655394110209
2019-10-01 10:21:00+02:00,1.4042601471053118
2019-10-01 10:22:00+02:00,1.2690691770012983
2019-10-01 10:23:00+02:00,1.2763160094625687
2019-10-01 10:24:00+02:00,1.128576810715757
2019-10-01 10:25:00+02:00,1.0071546805023883
2019-10-01 10:26:00+02:00,3.7025827540818277
2019-10-01 10:27:00+02:00,6.12813310315595
2019-10-01 10:28:00+02:00,5.716694902087036
2019-10-01 10:29:00+02:00,5.131915789154353
2019-10-01 10:30:00+02:00,4.667871483896134
2019-10-01 10:31:00+02:00,4.281396444520164
2019-10-01 10:32:00+02:00,3.921147008895506
2019-10-01 10:33:00+02:00,3.5453661918787134
2019-10-01 10:34:00+02:00,3.2923646601360357
2019-10-01 10:35:00+02:00,3.096526484245959
2019-10-01 10:36:00+02:00,2.9349216982682007
2019-10-01 10:37:00+02:00,2.7858362112129145
2019-10-01 10:38:00+02:00,2.533180640150217
2019-10-01 10:39:00+02:00,2.391029049264848
2019-10-01 10:40:00+02:00,2.0984450829868657
2019-10-01 10:41:00+02:00,2.0473996629007276
2019-10-01 10:42:00+02:00,1.8842983516789067
2019-10-01 10:43:00+02:00,1.6227720331011506
2019-10-01 10:44:00+02:00,1.5839494530404719
2019-10-01 10:45:00+02:00,1.307179977336904
2019-10-01 10:46:00+02:00,1.2351864209571897
2019-10-01 10:47:00+02:00,1.2081702330932789
2019-10-01 10:48:00+02:00,1.2185823090965981
2019-10-01 10:49:00+02:00,1.0865197430183822
2019-10-01 10:50:00+02:00,1.082247416003923
2019-10-01 10:51:00+02:00,1.115573405351879
2019-10-01 10:52:00+02:00,1.1577627412493592
2019-10-01 10:53:00+02:00,1.0786643328738177
2019-10-01 10:54:00+02:00,1.0625559792231756
2019-10-01 10:55:00+02:00,0.9094516753031712
2019-10-01 10:56:00+02:00,0.9652798794764144
2019-10-01 10:57:00+02:00,0.8823896968340352
2019-10-01 10:58:00+02:00,0.752871887705019
2019-10-01 10:59:00+02:00,0.8119104023859267
2019-10-01 11:00:00+02:00,0.7938444628066971
2019-10-01 11:01:00+02:00,0.753577400688209
2019-10-01 11:02:00+02:00,0.7588428046976228
2019-10-01 11:03:00+02:00,0.6662051753042533
2019-10-01 11:04:00+02:00,0.7209133658142631
2019-10-01 11:05:00+02:00,0.7868400488815572
2019-10-01 11:06:00+02:00,0.833588628377093
2019-10-01 11:07:00+02:00,0.8762971517660838
2019-10-01 11:08:00+02:00,0.7889950107892478
2019-10-01 11:09:00+02:00,0.8536083110437713
2019-10-01 11:10:00+02:00,0.7462030044225983
2019-10-01 11:11:00+02:00,0.6064271573999521
2019-10-01 11:12:00+02:00,0.5179738027303546
2019-10-01 11:13:00+02:00,0.5318695474462825
2019-10-01 11:14:00+02:00,0.6089681973655507
2019-10-01 11:15:00+02:00,0.5951657262834589
2019-10-01 11:16:00+02:00,0.6613284827755102
2019-10-01 11:17:00+02:00,0.5996399219339948
2019-10-01 11:18:00+02:00,0.525593404503812
2019-10-01 11:19:00+02:00,0.5978203335288393
2019-10-01 11:20:00+02:00,0.6666129353749852
2019-10-01 11:21:00+02:00,0.5484918365137889
2019-10-01 11:22:00+02:00,0.5610935415984228
2019-10-01 11:23:00+02:00,0.49184566054147183
2019-10-01 11:24:00+02:00,0.4473181695682515
2019-10-01 11:25:00+02:00,0.3926253443097376
2019-10-01 11:26:00+02:00,0.38005355778895866
2019-10-01 11:27:00+02:00,0.241042306410756
2019-10-01 11:28:00+02:00,0.22758828008562446
2019-10-01 11:29:00+02:00,0.2075779540736134
2019-10-01 11:30:00+02:00,0.2062222888797966
2019-10-01 11:31:00+02:00,0.21535827457879514
2019-10-01 11:32:00+02:00,0.2331080089109685
2019-10-01 11:33:00+02:00,0.250628102784083
2019-10-01 11:34:00+02:00,0.2660381502100369
2019-10-01 11:35:00+02:00,0.2339639141713545
2019-10-01 11:36:00+02:00,0.23682812380906162
2019-10-01 11:37:00+02:00,0.2591793345320992
2019-10-01 11:38:00+02:00,0.20327256854490766
2019-10-01 11:39:00+02:00,0.22566165734460414
2019-10-01 11:40:00+02:00,0.20769520077687875
2019-10-01 11:41:00+02:00,2.9868480359945995
2019-10-01 11:42:00+02:00,2.6590202561003804
2019-10-01 11:43:00+02:00,2.4293668587370214
2019-10-01 11:44:00+02:00,2.222797401386667
2019-10-01 11:45:00+02:00,2.044028626581697
2019-10-01 11:46:00+02:00,1.8639236316042203
2019-10-01 11:47:00+02:00,1.7425813349001789
2019-10-01 11:48:00+02:00,1.4916196452688104
2019-10-01 11:49:00+02:00,1.313476068583692
2019-10-01 11:50:00+02:00,4.037630351269573
2019-10-01 11:51:00+02:00,3.612551462100917
2019-10-01 11:52:00+02:00,3.247865631917148
2019-10-01 11:53:00+02:00,2.9368520564845784
2019-10-01 11:54:00+02:00,2.644612463479648
2019-10-01 11:55:00+02:00,2.3940486045858935
2019-10-01 11:56:00+02:00,2.163332030582525
2019-10-01 11:57:00+02:00,1.9676000974100079
