19060,PriceUpdate,0,1,1569911745817375302,[1,{14,1110491,82.52,4391,335,2}]
19284,PriceUpdate,0,1,1569911943024039315,[1,{14,1110491,82.5,4452,60,1}]
19714,PriceUpdate,0,1,1569912191083373328,[1,{14,1110491,82.5,4472,40,1}]
21724,PriceUpdate,0,1,1569912323992017961,[1,{14,1110491,82.5,4472,58,1}]
21832,PriceUpdate,0,1,1569912357443164794,[1,{14,1110491,83,4818,55,1}]
21899,PriceUpdate,0,1,1569912359643289130,[1,{14,1110491,83.26,4818,70,1}]
21933,PriceUpdate,0,1,1569912359793301447,[1,{14,1110491,83.8,4818,63,1}]
21971,PriceUpdate,0,1,1569912360593348350,[1,{14,1110491,84,5209,819,2}]
22011,PriceUpdate,0,1,1569912361543388787,[1,{14,1110491,84,5712,316,2}]
22019,PriceUpdate,0,1,1569912361593389643,[1,{14,1110491,84,5827,201,2}]
22055,PriceUpdate,0,1,1569912362643425263,[1,{14,1110491,84.5,6290,143,2}]
22175,PriceUpdate,0,1,1569912423045324785,[1,{14,1110491,84.5,6349,84,2}]
22408,PriceUpdate,0,1,1569912505247936636,[1,{14,1110491,84,6389,103,2}]
22589,PriceUpdate,0,1,1569912591600638595,[1,{14,1110491,84.9,7124,1179,2}]
22593,PriceUpdate,0,1,1569912591650639572,[1,{14,1110491,84.9,7241,1062,2}]
22885,PriceUpdate,0,1,1569912610551316630,[1,{14,1110491,84,7281,1149,2}]
22895,PriceUpdate,0,1,1569912610601317753,[1,{14,1110491,80.5,10966,194,1}]
22931,PriceUpdate,0,1,1569912610951332693,[1,{14,1110491,80.5,10966,252,1}]
23117,PriceUpdate,0,1,1569912619001607457,[1,{14,1110491,81,10966,569,1}]
23158,PriceUpdate,0,1,1569912620151648879,[1,{14,1110491,81.85,10966,5,1}]
23177,PriceUpdate,0,1,1569912620351655488,[1,{14,1110491,81.4,11094,0,0}]
23231,PriceUpdate,0,1,1569912621451720735,[1,{14,1110491,82.4,11094,29,1}]
23625,PriceUpdate,0,1,1569912657652894494,[1,{14,1110491,81,12758,206,1}]
23628,PriceUpdate,0,1,1569912657702895342,[1,{14,1110491,81,12758,811,1}]
23646,PriceUpdate,0,1,1569912658452919706,[1,{14,1110491,81,12761,808,1}]
23673,PriceUpdate,0,1,1569912659902960776,[1,{14,1110491,82.52,13024,83,2}]
23685,PriceUpdate,0,1,1569912660152967126,[1,{14,1110491,84.87,14772,1136,1}]
23696,PriceUpdate,0,1,1569912660352971190,[1,{14,1110491,84.87,14772,1302,1}]
23706,PriceUpdate,0,1,1569912663603071510,[1,{14,1110491,84.87,14772,1317,1}]
24398,PriceUpdate,0,1,1569912709354525552,[1,{14,1110491,84.87,14772,814,1}]
24450,PriceUpdate,0,1,1569912709654533243,[1,{14,1110491,84.87,14772,311,1}]
24497,PriceUpdate,0,1,1569912712354620789,[1,{14,1110491,84.5,14580,142,2}]
24542,PriceUpdate,0,1,1569912712704635050,[1,{14,1110491,84.2,14322,352,1}]
24590,PriceUpdate,0,1,1569912714454683761,[1,{14,1110491,84,14314,3,2}]
24627,PriceUpdate,0,1,1569912714954697878,[1,{14,1110491,84,13811,506,2}]
24638,PriceUpdate,0,1,1569912715154705457,[1,{14,1110491,84,13697,620,2}]
24729,PriceUpdate,0,1,1569912722054914037,[1,{14,1110491,84,13697,918,2}]
24736,PriceUpdate,0,1,1569912722204916312,[1,{14,1110491,83.8,13405,3,1}]
24755,PriceUpdate,0,1,1569912722354923010,[1,{14,1110491,83.71,13405,2,1}]
24764,PriceUpdate,0,1,1569912722404926494,[1,{14,1110491,83.69,13405,20,1}]
24781,PriceUpdate,0,1,1569912722554933078,[1,{14,1110491,83.52,13405,69,1}]
24987,PriceUpdate,0,1,1569912724154980234,[1,{14,1110491,83.5,13405,127,1}]
25251,PriceUpdate,0,1,1569912727055090300,[1,{14,1110491,83.5,13405,527,1}]
25507,PriceUpdate,0,1,1569912765806283052,[1,{14,1110491,83.2,13405,43,1}]
25529,PriceUpdate,0,1,1569912768956380078,[1,{14,1110491,83.28,13405,4,1}]
25534,PriceUpdate,0,1,1569912769006380719,[1,{14,1110491,83.28,13405,977,1}]
25551,PriceUpdate,0,1,1569912770056414165,[1,{14,1110491,84,13599,1016,2}]
25557,PriceUpdate,0,1,1569912770256419268,[1,{14,1110491,84,14572,43,2}]
25736,PriceUpdate,0,1,1569912787606915520,[1,{14,1110491,84,14615,539,1}]
25765,PriceUpdate,0,1,1569912788406936289,[1,{14,1110491,84,14615,657,1}]
26369,PriceUpdate,0,1,1569912853458971800,[1,{14,1110491,84.5,14908,112,2}]
26376,PriceUpdate,0,1,1569912853508975356,[1,{14,1110491,84.61,15020,60,1}]
26391,PriceUpdate,0,1,1569912853708980384,[1,{14,1110491,84.61,15020,1154,1}]
26455,PriceUpdate,0,1,1569912855059018295,[1,{14,1110491,84.61,15609,701,1}]
26485,PriceUpdate,0,1,1569912855259022335,[1,{14,1110491,84.61,15609,1173,1}]
27061,PriceUpdate,0,1,1569912900060388794,[1,{14,1110491,84.61,15609,2438,1}]
27540,PriceUpdate,0,1,1569912920111595294,[1,{14,1110491,84.64,15609,1067,1}]
27549,PriceUpdate,0,1,1569912920161598215,[1,{14,1110491,84.64,15609,2161,1}]
27564,PriceUpdate,0,1,1569912920261599581,[1,{14,1110491,84.65,15609,902,1}]
