trade_time_paris,x_t_signed_volume,total_qty,known_qty,imbalance,known_ratio
2019-10-01 10:02:00+02:00,-1856.0,3472.0,3472.0,-0.5345622119815668,1.0
2019-10-01 10:03:00+02:00,429.0,3183.0,3183.0,0.1347785108388313,1.0
2019-10-01 10:04:00+02:00,159.0,479.0,479.0,0.33194154488517746,1.0
2019-10-01 10:05:00+02:00,82.0,1952.0,1952.0,0.042008196721311473,1.0
2019-10-01 10:06:00+02:00,-15.0,1669.0,1669.0,-0.008987417615338526,1.0
2019-10-01 10:07:00+02:00,-463.0,1911.0,1911.0,-0.2422815279958137,1.0
2019-10-01 10:08:00+02:00,-709.0,1233.0,1233.0,-0.5750202757502028,1.0
2019-10-01 10:09:00+02:00,813.0,1941.0,1941.0,0.4188562596599691,1.0
2019-10-01 10:10:00+02:00,403.0,1119.0,1119.0,0.36014298480786416,1.0
2019-10-01 10:11:00+02:00,-853.0,1289.0,1289.0,-0.6617532971295578,1.0
2019-10-01 10:12:00+02:00,1161.0,2061.0,2061.0,0.5633187772925764,1.0
2019-10-01 10:13:00+02:00,449.0,509.0,509.0,0.8821218074656189,1.0
2019-10-01 10:14:00+02:00,-254.0,254.0,254.0,-1.0,1.0
2019-10-01 10:15:00+02:00,973.0,1567.0,1567.0,0.6209317166560306,1.0
2019-10-01 10:16:00+02:00,325.0,1287.0,1287.0,0.25252525252525254,1.0
2019-10-01 10:17:00+02:00,-262.0,872.0,872.0,-0.30045871559633025,1.0
2019-10-01 10:18:00+02:00,-44.0,434.0,434.0,-0.10138248847926268,1.0
2019-10-01 10:19:00+02:00,-96.0,900.0,900.0,-0.10666666666666667,1.0
2019-10-01 10:20:00+02:00,256.0,924.0,924.0,0.27705627705627706,1.0
2019-10-01 10:21:00+02:00,1496.0,2052.0,2052.0,0.7290448343079922,1.0
2019-10-01 10:22:00+02:00,-545.0,787.0,787.0,-0.6925031766200762,1.0
2019-10-01 10:23:00+02:00,535.0,1053.0,1053.0,0.5080721747388414,1.0
2019-10-01 10:24:00+02:00,-304.0,304.0,304.0,-1.0,1.0
2019-10-01 10:25:00+02:00,-577.0,721.0,721.0,-0.8002773925104022,1.0
2019-10-01 10:26:00+02:00,352.0,450.0,450.0,0.7822222222222223,1.0
2019-10-01 10:27:00+02:00,15.0,1261.0,1261.0,0.011895321173671689,1.0
2019-10-01 10:28:00+02:00,0.0,0.0,0.0,,
2019-10-01 10:29:00+02:00,-320.0,320.0,320.0,-1.0,1.0
2019-10-01 10:30:00+02:00,-150.0,1758.0,1758.0,-0.08532423208191127,1.0
2019-10-01 10:31:00+02:00,-1143.0,2165.0,2165.0,-0.5279445727482679,1.0
2019-10-01 10:32:00+02:00,688.0,5522.0,5522.0,0.12459253893516842,1.0
2019-10-01 10:33:00+02:00,859.0,1493.0,1493.0,0.5753516409912927,1.0
2019-10-01 10:34:00+02:00,387.0,957.0,957.0,0.4043887147335423,1.0
2019-10-01 10:35:00+02:00,-196.0,590.0,590.0,-0.33220338983050846,1.0
2019-10-01 10:36:00+02:00,535.0,1367.0,1367.0,0.3913679590343819,1.0
2019-10-01 10:37:00+02:00,-4648.0,8582.0,8582.0,-0.5415986949429038,1.0
2019-10-01 10:38:00+02:00,1281.0,2001.0,2001.0,0.6401799100449775,1.0
2019-10-01 10:39:00+02:00,-163.0,925.0,925.0,-0.17621621621621622,1.0
2019-10-01 10:40:00+02:00,-1330.0,2424.0,2424.0,-0.5486798679867987,1.0
2019-10-01 10:41:00+02:00,1246.0,2668.0,2668.0,0.46701649175412296,1.0
2019-10-01 10:42:00+02:00,-22.0,432.0,432.0,-0.05092592592592592,1.0
2019-10-01 10:43:00+02:00,272.0,928.0,928.0,0.29310344827586204,1.0
2019-10-01 10:44:00+02:00,417.0,473.0,473.0,0.8816067653276956,1.0
2019-10-01 10:45:00+02:00,-85.0,85.0,85.0,-1.0,1.0
2019-10-01 10:46:00+02:00,164.0,886.0,886.0,0.18510158013544017,1.0
2019-10-01 10:47:00+02:00,-726.0,1470.0,1470.0,-0.49387755102040815,1.0
2019-10-01 10:48:00+02:00,615.0,737.0,737.0,0.8344640434192673,1.0
2019-10-01 10:49:00+02:00,547.0,1685.0,1685.0,0.32462908011869435,1.0
2019-10-01 10:50:00+02:00,147.0,571.0,571.0,0.2574430823117338,1.0
2019-10-01 10:51:00+02:00,-18.0,550.0,550.0,-0.03272727272727273,1.0
2019-10-01 10:52:00+02:00,-116.0,1472.0,1472.0,-0.07880434782608696,1.0
2019-10-01 10:53:00+02:00,-135.0,1979.0,1979.0,-0.06821627084386053,1.0
2019-10-01 10:54:00+02:00,22.0,888.0,888.0,0.024774774774774775,1.0
2019-10-01 10:55:00+02:00,-2390.0,3664.0,3664.0,-0.652292576419214,1.0
2019-10-01 10:56:00+02:00,485.0,485.0,485.0,1.0,1.0
2019-10-01 10:57:00+02:00,-222.0,2486.0,2486.0,-0.08930008045052293,1.0
2019-10-01 10:58:00+02:00,-2717.0,4039.0,4039.0,-0.672691260212924,1.0
2019-10-01 10:59:00+02:00,1518.0,2136.0,2136.0,0.7106741573033708,1.0
2019-10-01 11:00:00+02:00,276.0,1076.0,1076.0,0.25650557620817843,1.0
2019-10-01 11:01:00+02:00,-33.0,857.0,857.0,-0.038506417736289385,1.0
2019-10-01 11:02:00+02:00,-866.0,2132.0,2132.0,-0.40619136960600377,1.0
2019-10-01 11:03:00+02:00,390.0,1086.0,1086.0,0.35911602209944754,1.0
2019-10-01 11:04:00+02:00,891.0,1071.0,1071.0,0.8319327731092437,1.0
2019-10-01 11:05:00+02:00,-118.0,866.0,866.0,-0.13625866050808313,1.0
2019-10-01 11:06:00+02:00,692.0,1608.0,1608.0,0.43034825870646765,1.0
2019-10-01 11:07:00+02:00,-355.0,759.0,759.0,-0.46772068511198944,1.0
2019-10-01 11:08:00+02:00,252.0,338.0,338.0,0.7455621301775148,1.0
2019-10-01 11:09:00+02:00,428.0,428.0,428.0,1.0,1.0
2019-10-01 11:10:00+02:00,-1073.0,2147.0,2147.0,-0.4997671169073125,1.0
2019-10-01 11:11:00+02:00,-495.0,1493.0,1493.0,-0.3315472203616879,1.0
