trade_time_paris,MiFIDPrice,MiFIDQuantity,q_UncrossingTrade,q_FirstTradePrice,q_PassiveBuyOrder,q_AggressiveBuyOrder,sign,signed_qty,TradeType,MMTMarketMechanism,MMTTradingMode,Venue
2019-10-01 09:00:18.178966+02:00,85.25,200.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,1.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,97.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,801.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,199.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,13.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,50.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,149.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,30.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,14.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,261.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,79.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,79.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,79.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,79.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,79.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,578.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,234.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,466.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,298.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,87.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,128.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,85.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,35.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,4.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,2.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,3.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,15.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,15.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,5.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,8.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,409.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,31.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,97.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,3.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,11.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,9.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,6.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,34.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,82.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,18.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,20.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,40.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,40.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,2.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,13.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,8.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,31.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,33.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,11.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,44.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,84.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,18.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,2.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,16.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,3.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,31.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,44.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,904.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,20.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,144.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,5.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,72.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,464.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,1104.0,1,1,0,0,0,0.0,1,1,O,XPAR
2019-10-01 09:00:18.178966+02:00,85.25,693.0,1,1,0,0,0,0.0,1,1,O,XPAR
