lag,xcf,null_lo,null_hi
-10,0.12905935577815783,-0.10300078978693819,0.11363526349722022
-9,0.1333355132324281,-0.07645609936167529,0.12773528466072165
-8,0.1079590592315775,-0.10224879995556804,0.1202352110460946
-7,0.11370569107556008,-0.09672041254555713,0.12504967247574694
-6,0.12558400890834187,-0.09054182561853776,0.11682440935233257
-5,0.15272208738486712,-0.10407043574376715,0.136339978233872
-4,0.153876645646324,-0.111315280744477,0.13290817262519325
-3,0.17333420374650138,-0.10573068394184866,0.12435415154361644
-2,0.14762668044939378,-0.1253630551393189,0.11966152473290029
-1,0.16239143368865713,-0.13440123995252284,0.15356797838557706
0,0.24248090127777072,-0.14765243195013805,0.13760104439075085
1,0.21513005205724234,-0.13173258080753086,0.1615063758956116
2,0.2200695127488235,-0.15187799817306313,0.1532803973229526
3,0.2385400090649451,-0.14035348314994706,0.18236685843018127
4,0.19590844860265352,-0.13669797715749366,0.16082922550403508
5,0.2317264977548906,-0.12863388444404505,0.16939793833339484
6,0.19973423628932252,-0.15093513228801814,0.15203806491132354
7,0.16017361575084213,-0.15879834155127381,0.1732913028547442
8,0.17099179829585626,-0.13135921178505075,0.14698337289940108
9,0.13310730713759608,-0.14209546201768064,0.1612060827145423
10,0.1668408041308275,-0.10862176409300198,0.18302151511483916
