lag,xcf,null_lo,null_hi
-10,0.0492109978098537,-0.06623506366475979,0.0534562425940315
-9,0.028782043232975386,-0.06033476911290674,0.06109899975781218
-8,0.06519757789835284,-0.05704771579515354,0.05103931815479454
-7,0.04563073573754618,-0.07176041296715374,0.04553476274180335
-6,0.0381708861164099,-0.056801769119215716,0.03713783187049438
-5,0.074743504904776,-0.06372872875634611,0.04876749672997184
-4,0.054330296272788604,-0.06316389444861434,0.06305191224487693
-3,0.07252270523848504,-0.05727046314190257,0.051252897481836424
-2,0.08219667434894891,-0.05602962599062365,0.05894753515017451
-1,0.09507528581201967,-0.06180576620204182,0.05120537053351063
0,0.05295946483277131,-0.06550464638190089,0.06533502781917744
1,0.09362515459370474,-0.06691146450420245,0.07501929413671193
2,0.09758300743035957,-0.05919627645053087,0.05828172467415031
3,0.04133886074731907,-0.05686768985301463,0.05438053421903987
4,0.08863305683445903,-0.06626841736311768,0.06616478986488386
5,0.0651021437777966,-0.06542978848482274,0.056663454991918584
6,0.0620432880350095,-0.06460370328347897,0.05452460683190387
7,0.06022915455001842,-0.0603967580719449,0.0704466091191096
8,0.04545715095800882,-0.05318016521548357,0.05430096273016137
9,0.07916169183944513,-0.06638759606020063,0.046214661113559485
10,0.09997019598506736,-0.06814669579431071,0.052009085389561865
