lag,xcf,null_lo,null_hi
-10,0.09385922024030885,-0.08245606935652317,0.09394927528908203
-9,0.09001325884707287,-0.06560535861868018,0.0995884100827766
-8,0.0889208149074686,-0.07012126814942722,0.08118523401925953
-7,0.08227192061423866,-0.08207143402404078,0.08043442934889657
-6,0.09112001323177123,-0.08277293019262236,0.10383154219093824
-5,0.11384955120724666,-0.07590856519654794,0.11428266275807206
-4,0.11964571546646287,-0.09057176772752587,0.10480217429975437
-3,0.11526978417622571,-0.09264094948354791,0.09214911750556277
-2,0.1072900255874855,-0.10802995475328753,0.10503373895111243
-1,0.1293988037221244,-0.10884033425264533,0.10930566325871861
0,0.21000108307604687,-0.1112601964426233,0.11253657969733658
1,0.1519048567831726,-0.10372872611052293,0.12429986004186079
2,0.14422524314429988,-0.1216402342144537,0.12355871992051452
3,0.14778476423608258,-0.1321593119260213,0.15270289639573373
4,0.15066184998145662,-0.11117319000844668,0.13328150646820205
5,0.15069451419535645,-0.11289347702497653,0.14505840140267773
6,0.11676540457102784,-0.12313713456490202,0.11791755636431549
7,0.09984144723849227,-0.11788607886234422,0.1626694718980437
8,0.10327807127856742,-0.12145956153085455,0.11103950881025028
9,0.09456275039818887,-0.12430855993841307,0.12836298134522992
10,0.09043602823903221,-0.09829364263830934,0.13806500487958762
