lag,xcf,null_lo,null_hi
-10,0.04206867077524433,-0.07422925061531482,0.09832982457618007
-9,0.016877630442495857,-0.09771351888637118,0.0886065278743549
-8,0.03430528243969188,-0.08601582415823886,0.08936048390669546
-7,0.030520374802134462,-0.0834851832819137,0.09596224570336088
-6,0.02284842819406405,-0.06912203046041956,0.10569370032924613
-5,0.025028816385609734,-0.07640623889434285,0.10370424646983789
-4,0.030762379517779458,-0.11448552081972688,0.09670358887682001
-3,0.03645218507249693,-0.0915627178776772,0.14928060573815832
-2,0.06736798100578811,-0.1020040813819137,0.134707279234345
-1,0.04796908642364974,-0.10717567431551286,0.12714687186433785
0,0.1505224586668752,-0.13774490299128156,0.17479164472691583
1,0.014611660232284327,-0.1600768043822695,0.20439754539556967
2,0.07497854832859215,-0.1424181907479889,0.16555868740977955
3,0.01647251055285576,-0.1899628134551388,0.15145150025167367
4,0.03888317943513281,-0.15326492656360086,0.15794848745563167
5,0.025880794937136062,-0.1327061245608412,0.17111687191167985
6,0.047095471625126555,-0.1495705559380923,0.1482446861911969
7,0.023970235605162968,-0.15977124387608993,0.16081382908208877
8,0.03542462139886199,-0.14356277917583038,0.1317982585857147
9,0.040097154524970556,-0.128256678585718,0.14804161778884026
10,0.028059669046671797,-0.13552060019714984,0.1667966537953713
