lag,xcf,null_lo,null_hi
-10,-0.04672646766754051,-0.23754292723955603,0.24154964049962754
-9,-0.03318045932825102,-0.2449645140092809,0.23245023413851582
-8,0.02242918063190672,-0.19024111333373725,0.25111143974242056
-7,0.01550923984740921,-0.1932366712893047,0.2629414630643224
-6,0.0859832805833207,-0.18591721056050853,0.24662153607066475
-5,0.20976722050777658,-0.22201922037620297,0.26419770189444547
-4,0.19064512010468326,-0.20707187955802953,0.24248255613353578
-3,0.19485607639860736,-0.2177969810880792,0.2346381507148652
-2,0.22375445906265543,-0.2624898450534147,0.26825846321594427
-1,0.3603223242212757,-0.3151237572339537,0.2913822267025804
0,0.672313483011356,-0.4429217519379841,0.4496211294719622
1,0.5048193802263375,-0.5307818193967156,0.4882609420020575
2,0.2991191776616698,-0.48574574027559575,0.3537263372495297
3,0.36462231970773906,-0.6050508784749935,0.42322916613596895
4,0.36580082290716737,-0.5507031592401442,0.40307719086646426
5,0.4436848623062346,-0.46464631283985547,0.4087311543874756
6,0.268863060278855,-0.490272347200563,0.4451156649753926
7,0.27210135913166367,-0.48501433590395365,0.48383269806003254
8,0.308318068291086,-0.4944112092929551,0.5728980362183776
9,0.10503098123704907,-0.5411433782156533,0.5910071401818922
10,0.24513099176392272,-0.47665018905616946,0.591021814616252
