lag,xcf,null_lo,null_hi
-10,0.12025083536719124,-0.1860421624226793,0.1354249481408201
-9,0.12415690282361913,-0.17961680902929017,0.17116174560912367
-8,0.11417782033158862,-0.1700665228542678,0.17015825709494958
-7,0.11454653677252198,-0.14870433478633224,0.15251920118468834
-6,0.10297655429000988,-0.14627758410889805,0.1737911549532616
-5,0.11017988114489555,-0.1646772164028871,0.1777166409875982
-4,0.1366830722328511,-0.17740078107566193,0.15894114498721865
-3,0.18070106413710163,-0.20035838291706912,0.18490206819496535
-2,0.19356562793180213,-0.2031289052433224,0.15359996258074854
-1,0.2336921896022669,-0.2187095086724953,0.16729855524730375
0,0.36697239763737133,-0.3022309906554576,0.2413579925221423
1,0.3139740806414186,-0.3542846959817885,0.2850078197373058
2,0.25900320936816174,-0.36225494789945084,0.26566665826826374
3,0.21188402226306977,-0.29901545444888433,0.2740276243780857
4,0.17567822292959814,-0.3011801971044611,0.33517653152006294
5,0.15047265073675378,-0.3549025533644048,0.35550626926286755
6,0.2197843865523487,-0.32233143402774866,0.31846542492819463
7,0.19089930440712735,-0.35343651642408375,0.3389883710474703
8,0.1616901830203448,-0.3661467928852186,0.22612964936538457
9,0.18051183181579442,-0.30493045401456287,0.2621336083651841
10,0.23107415406982731,-0.3088485818267533,0.24271399341076294
