lag,xcf,null_lo,null_hi
-10,0.013410970141563523,-0.07417470872787615,0.082074268779595
-9,0.013210281346866264,-0.05482370866502771,0.07275076781844997
-8,0.014722648783593787,-0.05034048614422585,0.06490205969975825
-7,0.011582619254334193,-0.059482990107393066,0.04604725541220611
-6,0.00921935278942427,-0.06902206372691344,0.0664573260422372
-5,0.033734392109412946,-0.05909287213931941,0.08177056717717107
-4,0.035208146374868486,-0.0667384788155722,0.07977451685613005
-3,0.025129534848970844,-0.08246520611432846,0.05824305206555338
-2,0.015475728826177553,-0.08853781894633234,0.07910223065991667
-1,0.031910562203767985,-0.07215007091151845,0.0514276888769987
0,0.11165439623594868,-0.09107636323364855,0.07889121295611504
1,0.04454618017627706,-0.08725998754789317,0.09267418920694945
2,0.011768212080474124,-0.0821634857214743,0.08373232292606374
3,-0.0012631408455429478,-0.09472600148014029,0.10420247307902901
4,0.036047854688889734,-0.07367840509883701,0.09290585793987648
5,0.021876835082630563,-0.09088039895059433,0.10757822440613563
6,0.0021948297273043497,-0.08183799714927442,0.07364108390595007
7,0.0007592183392894382,-0.06447428718378186,0.10954088978625895
8,0.014561303436319128,-0.09245931814673003,0.08093313903656517
9,0.017984561233135413,-0.07389275390108492,0.0766632463151823
10,-0.011125386650720902,-0.08443251002681965,0.08725360570264215
