4,StandingData,0,1110209,1,12,VIRBAC,VIRBAC,FR0000031577,11,FR0000031577,ESVUFN,20190124,0,1,200000,0,20190930,0000100006,00001,,1,,FRA,210,1,,,XPAR,XPAR,FRA,VIRP,,,EUR,,0,0,8458000,1.25,UNT,1,X,,3,00,H,1,110.94,EUR,1,,,,450000,750000,1000000,{1,60,22,1,1,1},{5,,,,1,1}]
4,StandingData,0,1110211,1,10,VICAT,VICAT,FR0000031775,11,FR0000031775,ESVUFN,20190424,0,1,200000,0,20190930,0000100006,00001,,1,,FRA,39.8,1,,,XPAR,XPAR,FRA,VCT,,,EUR,,0,0,44900000,4,UNT,1,X,,3,00,H,1,,EUR,1,,,,450000,750000,1000000,{1,60,22,1,1,1},{5,,,,1,1}]
5,StandingData,0,1110210,1,13,ROTHSCHILD & CO,ROTHSCHILD & CO,FR0000031684,11,FR0000031684,ESVUFN,20190517,0,1,200000,0,20190930,0000100006,00001,,1,,FRA,26.3,1,,,XPAR,XPAR,FRA,ROTH,,,EUR,,0,0,77567512,2,UNT,1,X,,3,00,H,1,,EUR,1,,,,450000,750000,1000000,{1,60,22,1,1,1},{5,,,,1,1}]
5,StandingData,0,1110212,1,11,TRAMWAYS DE ROUEN,TRAMWAYS DE ROUEN,FR0000031866,10,FR0000031866,ESVUFR,20190603,0,0,15000,0,20190930,0000100006,00001,,1,,FRA,2560,1,,,XMLI,XMLI,FRA,MLTRA,,,EUR,,0,0,9150,31,UNT,1,X,,3,00,D,0,,EUR,0,,,,,,[2,{1,1015,20,1,1,1},{5,,,,1,1}]
5,StandingData,0,1110213,1,12,FAYENC.SARREGUEMINES DIGOIN,FAYENC.SARREGUEMI.,FR0000031973,13,FR0000031973,ESVUFN,20180612,0,0,15000,0,20190812,0000100006,00001,,1,,FRA,36.6,1,,,XPAR,XPAR,FRA,FAYE,,,EUR,,0,0,150250,30.5,UNT,1,X,,3,00,J,0,,EUR,0,,,,,,[2,{1,1015,20,1,1,1},{5,,,,1,1}]
5,StandingData,0,1110215,1,10,MANUTAN INTL,MANUTAN INTL,FR0000032302,16,FR0000032302,ESVUFN,20190326,0,1,60000,0,20190930,0000100006,00001,,1,,FRA,66.6,1,,,XPAR,XPAR,FRA,MAN,,,EUR,,0,0,7613291,2,UNT,1,X,,3,00,I,2,45.4,EUR,0,,,,30000,80000,120000,{1,60,21,1,1,1},{5,,,,1,1}]
6,StandingData,0,1110214,1,13,LATECOERE,LATECOERE,FR0000032278,16,FR0000032278,ESVUFN,20190926,0,1,200000,0,20190930,0000100006,00001,,1,,FRA,3.84,1,,,XPAR,XPAR,FRA,LAT,,,EUR,,0,0,94818518,2,UNT,1,X,,3,00,I,0,,EUR,1,,,,450000,750000,1000000,{1,60,22,1,1,1},{5,,,,1,1}]
6,StandingData,0,1110216,1,11,GUERBET,GUERBET,FR0000032526,16,FR0000032526,ESVUFN,20190712,0,1,200000,0,20190930,0000100006,00001,,1,,FRA,46.4,1,,,XPAR,XPAR,FRA,GBT,,,EUR,,0,0,12581261,1,UNT,1,X,,3,00,I,2,95.52,EUR,1,,,,450000,750000,1000000,{1,60,22,1,1,1},{5,,,,1,1}]
6,StandingData,0,1110217,1,12,SYNERGIE,SYNERGIE,FR0000032658,16,FR0000032658,ESVUFN,20190618,0,1,100000,0,20190930,0000100006,00001,,1,,FRA,26.4,1,,,XPAR,XPAR,FRA,SDG,,,EUR,,0,0,24362000,5,UNT,1,X,,3,00,I,2,13.76,EUR,0,,,,75000,150000,225000,{1,60,22,1,1,1},{5,,,,1,1}]
6,StandingData,0,1110219,1,10,ALTAREA,ALTAREA,FR0000033219,11,FR0000033219,ESVUFN,20190723,0,1,200000,0,20190930,0000100006,00001,,1,,FRA,189,1,,,XPAR,XPAR,FRA,ALTA,,,EUR,,0,0,16700762,15.28,UNT,1,X,,0,00,H,1,119,EUR,1,,,,450000,750000,1000000,{1,60,22,1,1,1},{5,,,,1,1}]
7,StandingData,0,1110218,1,13,TOUAX,TOUAX,FR0000033003,16,FR0000033003,ESVUFN,20181227,0,1,15000,0,20190930,0000100006,00001,,1,,FRA,4.85,1,,,XPAR,XPAR,FRA,TOUP,,,EUR,,0,0,7011547,8,UNT,1,X,,3,00,J,0,,EUR,0,,,,7500,15000,25000,{1,60,21,1,1,1},{5,,,,1,1}]
7,StandingData,0,1110220,1,11,IMMOB.DASSAULT,IMMOB.DASSAULT,FR0000033243,16,FR0000033243,ESVUFN,20190607,0,1,15000,0,20190930,0000100006,00001,,1,,FRA,62.5,1,,,XPAR,XPAR,FRA,IMDA,,,EUR,,0,0,6733655,6.1,UNT,1,X,,0,00,I,0,,EUR,0,,,,7500,15000,25000,{1,60,20,1,1,1},{5,,,,1,1}]
7,StandingData,0,1110221,1,12,FONCIERE LYONNAISE,FONCIERE LYONNAISE,FR0000033409,11,FR0000033409,ESVUFN,20190418,0,1,60000,0,20190930,0000100006,00001,,1,,FRA,67.4,1,,,XPAR,XPAR,FRA,FLY,,,EUR,,0,0,46528974,2,UNT,1,X,,0,00,H,1,35,EUR,0,,,,30000,80000,120000,{1,60,21,1,1,1},{5,,,,1,1}]
7,StandingData,0,1110223,1,10,LEXIBOOK LINGUIST.,LEXIBOOK LINGUIST.,FR0000033599,E2,FR0000033599,ESVUFN,20180411,0,1,15000,0,20190930,0000100006,00001,20150805,1,,FRA,0.796,1,,,ALXP,ALXP,FRA,ALLEX,,,EUR,,0,0,6825819,0.5,UNT,1,X,,3,00,E,0,,EUR,0,,,,7500,15000,25000,{1,60,21,1,1,1},{5,,,,1,1}]
