v_exp1,u_unif01
1.954245319643948,0.8583286470525582
0.884297110383439,0.5869956322385483
1.4314313622082184,0.7610333704727646
4.298688542721356,0.9864136347288
6.423403470598542,0.9983768774266533
3.791886681139244,0.9774469886547348
1.738634233926585,0.8242397157995065
0.8206762411940202,0.5598660828394528
0.35766957869669114,0.3006958981909359
3.029368072077866,0.9516538202240803
3.3839961475568607,0.9660883324249917
11.247107140530206,0.9999869550195826
0.7899412278061609,0.5461285304795189
0.25471999355207864,0.22486649004192794
3.2016633012418003,0.9593055394916126
5.385585265450651,0.9954178422413144
2.1369482177879027,0.8819855515815382
1.5047156659085044,0.7779195701070707
1.7341324564902558,0.8234466984633884
0.6482204042973513,0.4770243656782164
0.072098023271165,0.0695603134007361
0.8664584649003314,0.5795620886874823
1.7163799957025039,0.8202844571664893
0.9136480748332795,0.5989415392252323
0.39737194539414544,0.32791599941078997
2.7792850036049552,0.9379171194520748
0.9837144277595613,0.6260803812366618
1.215947374002886,0.7035709479507155
0.7049427454214549,0.5058631349558029
0.3909940867114159,0.3236158443178301
1.9751716988035746,0.8612625108630814
1.1245730089013635,0.6752088793281792
1.068854754382067,0.6565984285510633
0.44798906169826314,0.3610883273976473
0.3736097728761423,0.3117545685310211
2.7300985832376514,0.9347871395436939
0.302587767515895,0.26109636632349054
0.5692093126805641,0.43402723068124605
0.1051168305101204,0.0997806566427909
1.1195600594147699,0.6735766300731794
1.3599272064324244,0.7433205391128062
2.3893387089169575,0.9083097021900873
2.390251797164749,0.9083933853126022
4.2573057604880455,0.9858395974222415
1.1932722457289566,0.6967725957017845
0.5090995923752109,0.398963486895785
0.7374045382986822,0.521646145172637
0.17715035387459857,0.16234616944459868
0.6751312585381097,0.49091040613400283
0.8322126744990915,0.564914482168463
0.21278903282920145,0.19167335038405275
1.4083711455461567,0.7554587189200712
2.934030643977888,0.9468177531406453
1.2457211934663015,0.712266678106938
0.6104486552676742,0.45689285347731423
5.94868702932456,0.9973907358423288
1.7524661253662361,0.8266540768866567
3.1315682897826793,0.9563507111874169
1.4029062520589357,0.7541186685846208
0.43330043276598196,0.3516343277509292
0.27805350505053344,0.24274369660639672
1.0538257174338717,0.6513984562346083
0.5774329758950912,0.4386625144950914
0.3121719763121267,0.26814434443158874
1.5452988515003971,0.7867518678251229
0.3899726165303256,0.3229245850815953
0.42756389010406065,0.34790426179936984
1.0056665472315236,0.6341992699378818
0.3570455730069222,0.30025939227560483
0.0656982267888554,0.06358659386177634
1.0775525957234762,0.6595723289305382
0.3961518243665333,0.3270954751216725
0.6559552729148237,0.4810539094141353
2.598341764497749,0.9256031565282246
1.861530675578799,0.844565471650633
0.2255498164941331,0.201922697955648
0.4464854685853618,0.36012694162157866
0.2594410746473458,0.22851733345716918
