v_exp1,u_unif01
0.0005531472075589669,0.0005529942498463392
0.0031342644507613288,0.0031293577715530985
0.005659232136179257,0.005643248847255089
2.2006180240719844,0.8892652995003034
0.04124951976096629,0.040410336510225076
0.05776814517392578,0.05613123740306836
0.42001544993179635,0.34296333143507807
0.698434736978198,0.5026368009488764
0.15586175829894128,0.14432252749557495
1.3856543860410953,0.7498399550233653
0.0998292798102772,0.09500809476169803
0.7395100621187799,0.5226522710257377
0.17313389503090873,0.1589750017627446
0.11870317798641836,0.11192863922568252
0.19750142802549722,0.17922103146640678
0.24991657716400098,0.22113424444853647
0.518340352716883,0.4044919383821082
0.48450545205897155,0.38399823614945294
0.15467027317319312,0.1433023928977334
0.47798050147627036,0.37996571338262064
0.6812405468570505,0.4940111000824111
0.4942478893770954,0.38997045549756193
0.25509612331575415,0.22515798600225556
0.30350919855489283,0.2617769014851279
0.7306220509562438,0.5183906886405218
0.682497959990424,0.4946469373316785
0.24432612140459983,0.21676783616545825
0.9772767062650387,0.6236654258049772
0.5742803519399978,0.4368900359803446
0.7097896294424697,0.508252364195299
0.8057317253450716,0.5532390993468191
1.2158666595983383,0.7035470208906724
0.4097187359260531,0.33616306263767726
0.6213149142296065,0.46276244835201097
0.5896480980209928,0.4454776120703904
3.349663920529656,0.9649038527864109
0.9212341585935204,0.6019724912379123
0.3274504036723044,0.2792409626094965
0.20852578002156846,0.18821989327587718
1.1472889354613816,0.6825036432319044
0.7373578378893928,0.5216238053301956
2.2299901610150075,0.89247051188839
0.3546156116160843,0.29855698205736914
0.18188856549744192,0.16630576245768736
0.5645671845873044,0.4313938049680792
0.14336712427849393,0.13356407916317437
0.35456522582742434,0.2985216384073087
0.39660549508232773,0.3274006829619709
0.9467385258404158,0.6119955715295702
0.45364269822413295,0.36469031002205343
0.18231942290775965,0.16666488842627358
1.9164885699705558,0.8528773328791976
0.49503325691295047,0.39044936481319603
2.058528974592118,0.8723584041096591
0.3250235524523667,0.27748966344861026
1.5074178816425734,0.7785188692564886
0.37326752623700665,0.3115189785325574
