time_paris,t_ns,side,side_label,delta,bid,ask,price,t_seconds,dup_rank,t_seconds_jitter,threshold_mode,threshold_value_input,threshold_actual,time_origin_paris,window_start_paris,window_end_paris,T_observation_seconds
2019-10-01 09:00:18.190366269+02:00,1569913218190366269,1,bid,0.8900000000000006,85.21,85.27,84.32,0.000109167,0,0.000109167,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:00:18.191808576+02:00,1569913218191808576,1,bid,0.5899999999999892,85.21,85.3,84.62,0.001551474,0,0.001551474,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:00:18.191894307+02:00,1569913218191894307,1,bid,1.019999999999996,85.21,85.3,84.19,0.001637205,0,0.001637205,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:00:18.192336135+02:00,1569913218192336135,1,bid,6.209999999999994,85.21,85.3,79.0,0.002079033,0,0.002079033,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:00:18.195693313+02:00,1569913218195693313,1,bid,0.5599999999999881,85.21,85.3,84.65,0.005436211,0,0.005436211,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:00:26.239202278+02:00,1569913226239202278,1,bid,5.1200000000000045,85.18,85.27,80.06,8.048945176,0,8.048945176,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:00:30.722146985+02:00,1569913230722146985,1,bid,0.5999999999999943,85.19,85.34,84.59,12.531889883,0,12.531889883,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:00:34.244051218+02:00,1569913234244051218,1,bid,0.5999999999999943,85.13,85.23,84.53,16.053794116,0,16.053794116,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:01:21.513139807+02:00,1569913281513139807,1,bid,0.6099999999999994,85.25,85.36,84.64,63.322882705,0,63.322882705,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:02:00.030044236+02:00,1569913320030044236,1,bid,0.7600000000000051,85.17,85.24,84.41,101.839787134,0,101.839787134,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:02:12.324891840+02:00,1569913332324891840,1,bid,1.059999999999988,85.21,85.28,84.15,114.134634738,0,114.134634738,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:02:13.418129459+02:00,1569913333418129459,1,bid,1.5699999999999932,85.21,85.28,83.64,115.227872357,0,115.227872357,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:04:44.086396777+02:00,1569913484086396777,1,bid,0.4500000000000028,85.23,85.29,84.78,265.896139675,0,265.896139675,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:04:52.092752113+02:00,1569913492092752113,1,bid,0.4600000000000079,85.2,85.27,84.74,273.902495011,0,273.902495011,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:04:52.112331715+02:00,1569913492112331715,1,bid,0.4700000000000131,85.18,85.25,84.71,273.922074613,0,273.922074613,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:04:52.147073820+02:00,1569913492147073820,1,bid,0.4500000000000028,85.19,85.25,84.74,273.956816718,0,273.956816718,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:04:52.163127517+02:00,1569913492163127517,1,bid,0.4500000000000028,85.2,85.25,84.75,273.972870415,0,273.972870415,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:04:54.439279791+02:00,1569913494439279791,1,bid,0.480000000000004,85.2,85.24,84.72,276.249022689,0,276.249022689,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:00.042408062+02:00,1569913500042408062,1,bid,0.6499999999999915,85.16,85.21,84.51,281.85215096,0,281.85215096,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:06.301790062+02:00,1569913506301790062,1,bid,0.480000000000004,85.14,85.19,84.66,288.11153296,0,288.11153296,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:06.302120657+02:00,1569913506302120657,1,bid,0.5999999999999943,85.13,85.15,84.53,288.111863555,0,288.111863555,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:24.096279324+02:00,1569913524096279324,1,bid,0.4500000000000028,85.08,85.13,84.63,305.906022222,0,305.906022222,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:25.574898635+02:00,1569913525574898635,1,bid,0.4599999999999937,85.07,85.11,84.61,307.384641533,0,307.384641533,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:30.389502151+02:00,1569913530389502151,1,bid,0.5999999999999943,85.02,85.07,84.42,312.199245049,0,312.199245049,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:30.390151720+02:00,1569913530390151720,1,bid,0.4500000000000028,85.02,85.07,84.57,312.199894618,0,312.199894618,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:30.884063085+02:00,1569913530884063085,1,bid,0.4599999999999937,85.05,85.09,84.59,312.693805983,0,312.693805983,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:45.240966937+02:00,1569913545240966937,1,bid,0.4600000000000079,85.09,85.12,84.63,327.050709835,0,327.050709835,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:50.967556153+02:00,1569913550967556153,1,bid,0.5999999999999943,85.13,85.17,84.53,332.777299051,0,332.777299051,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:53.357264375+02:00,1569913553357264375,1,bid,0.4600000000000079,85.15,85.19,84.69,335.167007273,0,335.167007273,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:53.359372390+02:00,1569913553359372390,1,bid,0.4599999999999937,85.19,85.21,84.73,335.169115288,0,335.169115288,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:53.367667144+02:00,1569913553367667144,1,bid,0.4599999999999937,85.16,85.21,84.7,335.177410042,0,335.177410042,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:55.964887300+02:00,1569913555964887300,1,bid,0.4799999999999897,85.21,85.25,84.73,337.774630198,0,337.774630198,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:57.558588701+02:00,1569913557558588701,1,bid,0.4699999999999988,85.22,85.25,84.75,339.368331599,0,339.368331599,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:58.207666812+02:00,1569913558207666812,1,bid,0.5799999999999983,85.22,85.25,84.64,340.01740971,0,340.01740971,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:58.400586714+02:00,1569913558400586714,1,bid,0.4699999999999988,85.22,85.25,84.75,340.210329612,0,340.210329612,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:05:59.760656734+02:00,1569913559760656734,1,bid,0.4500000000000028,85.25,85.28,84.8,341.570399632,0,341.570399632,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:06:04.151607493+02:00,1569913564151607493,1,bid,0.4699999999999988,85.23,85.26,84.76,345.961350391,0,345.961350391,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
2019-10-01 09:06:04.603820579+02:00,1569913564603820579,1,bid,0.4599999999999937,85.22,85.26,84.76,346.413563477,0,346.413563477,quantile,0.99,0.4500000000000028,2019-10-01T09:00:18.190257102+02:00,2019-10-01T09:00:18.190257102+02:00,2019-10-01T17:29:58.552073359+02:00,30580.361816
