time_paris,t_ns,side,side_label,delta,bid,ask,price,t_seconds,dup_rank,t_seconds_jitter,threshold_mode,threshold_value_input,threshold_actual,time_origin_paris,window_start_paris,window_end_paris,T_observation_seconds
2019-10-01 09:05:42.713131770+02:00,1569913542713131770,2,ask,4.949999999999989,85.09,85.12,90.07,324.522789265,0,324.522789265,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:05:53.371795468+02:00,1569913553371795468,2,ask,4.950000000000003,85.15,85.19,90.14,335.181452963,0,335.181452963,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:06:03.058874266+02:00,1569913563058874266,2,ask,4.909999999999997,85.25,85.29,90.2,344.868531761,0,344.868531761,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:06:05.965416188+02:00,1569913565965416188,2,ask,4.920000000000002,85.25,85.28,90.2,347.775073683,0,347.775073683,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:06:14.453575078+02:00,1569913574453575078,2,ask,4.909999999999997,85.26,85.28,90.19,356.263232573,0,356.263232573,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:06:26.429023888+02:00,1569913586429023888,2,ask,4.940000000000012,85.22,85.24,90.18,368.238681383,0,368.238681383,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:06:35.016830235+02:00,1569913595016830235,2,ask,4.950000000000003,85.17,85.21,90.16,376.82648773,0,376.82648773,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:06:39.250031719+02:00,1569913599250031719,2,ask,4.899999999999992,85.17,85.23,90.13,381.059689214,0,381.059689214,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:06:44.007025326+02:00,1569913604007025326,2,ask,4.920000000000002,85.2,85.23,90.15,385.816682821,0,385.816682821,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:06:55.249514216+02:00,1569913615249514216,2,ask,4.909999999999997,85.2,85.23,90.14,397.059171711,0,397.059171711,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:07:05.825967606+02:00,1569913625825967606,2,ask,4.899999999999992,85.12,85.15,90.05,407.635625101,0,407.635625101,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:07:09.501230648+02:00,1569913629501230648,2,ask,4.909999999999997,85.12,85.14,90.05,411.310888143,0,411.310888143,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:07:24.116791267+02:00,1569913644116791267,2,ask,4.909999999999997,85.17,85.2,90.11,425.926448762,0,425.926448762,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
2019-10-01 09:07:32.813262144+02:00,1569913652813262144,2,ask,4.909999999999997,85.2,85.23,90.14,434.622919639,0,434.622919639,quantile,0.99,1.6392000000001288,2019-10-01T09:00:18.190342505+02:00,2019-10-01T09:00:18.190342505+02:00,2019-10-01T17:29:57.718339630+02:00,30579.527997
