trade_time_paris,t_seconds,t_seconds_jitter,MiFIDPrice,MiFIDQuantity,Venue
2019-10-01 09:03:55.021774+02:00,216.832208,216.832208,85.22,255.0,XPAR
2019-10-01 09:03:56.191976+02:00,218.00241,218.00241,85.25,140.0,XPAR
2019-10-01 09:03:56.192062+02:00,218.002496,218.002496,85.25,10.0,XPAR
2019-10-01 09:04:55.845079+02:00,277.655513,277.655513,85.2,52.0,XPAR
2019-10-01 09:05:06.302969+02:00,288.113403,288.113403,85.14,150.0,XPAR
2019-10-01 09:05:06.302969+02:00,288.113403,288.113404,85.15,64.0,XPAR
2019-10-01 09:05:06.307748+02:00,288.118182,288.118182,85.15,40.0,XPAR
2019-10-01 09:05:07.310306+02:00,289.12074,289.12074,85.13,10.0,XPAR
2019-10-01 09:05:38.150815+02:00,319.961249,319.961249,85.07,104.0,XPAR
2019-10-01 09:05:38.151022+02:00,319.961456,319.961456,85.09,86.0,XPAR
2019-10-01 09:05:38.151022+02:00,319.961456,319.961457,85.09,150.0,XPAR
2019-10-01 09:05:38.154943+02:00,319.965377,319.965377,85.07,339.0,XPAR
2019-10-01 09:05:41.202803+02:00,323.013237,323.013237,85.11,150.0,XPAR
2019-10-01 09:05:41.202803+02:00,323.013237,323.013238,85.11,59.0,XPAR
2019-10-01 09:05:41.203380+02:00,323.013814,323.013814,85.1,10.0,XPAR
2019-10-01 09:05:45.844591+02:00,327.655025,327.655025,85.11,101.0,XPAR
2019-10-01 09:05:49.435077+02:00,331.245511,331.245511,85.12,62.0,XPAR
2019-10-01 09:05:49.435077+02:00,331.245511,331.245512,85.12,6.0,XPAR
2019-10-01 09:05:53.274688+02:00,335.085122,335.085122,85.18,2.0,XPAR
2019-10-01 09:05:53.357940+02:00,335.168374,335.168374,85.19,150.0,XPAR
2019-10-01 09:05:53.358081+02:00,335.168515,335.168515,85.2,100.0,XPAR
2019-10-01 09:05:53.358081+02:00,335.168515,335.168516,85.2,16.0,XPAR
2019-10-01 09:05:53.358081+02:00,335.168515,335.168517,85.21,80.0,XPAR
2019-10-01 09:05:53.358081+02:00,335.168515,335.168518,85.21,98.0,XPAR
2019-10-01 09:05:53.358830+02:00,335.169264,335.169264,85.19,150.0,XPAR
2019-10-01 09:05:53.358946+02:00,335.16938,335.16938,85.19,26.0,XPAR
2019-10-01 09:05:53.359252+02:00,335.169686,335.169686,85.19,24.0,XPAR
2019-10-01 09:05:54.400971+02:00,336.211405,336.211405,85.18,6.0,XPAR
2019-10-01 09:05:54.400971+02:00,336.211405,336.211406,85.18,110.0,XPAR
2019-10-01 09:05:54.490481+02:00,336.300915,336.300915,85.19,8.0,XPAR
2019-10-01 09:05:54.490481+02:00,336.300915,336.300916,85.19,150.0,XPAR
2019-10-01 09:05:54.592455+02:00,336.402889,336.402889,85.19,14.0,XPAR
2019-10-01 09:05:54.592455+02:00,336.402889,336.40289,85.19,148.0,XPAR
2019-10-01 09:05:55.639055+02:00,337.449489,337.449489,85.21,150.0,XPAR
2019-10-01 09:05:55.744702+02:00,337.555136,337.555136,85.22,100.0,XPAR
2019-10-01 09:05:55.744887+02:00,337.555321,337.555321,85.23,29.0,XPAR
2019-10-01 09:05:55.960984+02:00,337.771418,337.771418,85.22,91.0,XPAR
2019-10-01 09:05:55.960984+02:00,337.771418,337.771419,85.22,13.0,XPAR
2019-10-01 09:05:55.962865+02:00,337.773299,337.773299,85.22,44.0,XPAR
2019-10-01 09:05:55.962975+02:00,337.773409,337.773409,85.22,22.0,XPAR
2019-10-01 09:05:55.992636+02:00,337.80307,337.80307,85.22,50.0,XPAR
2019-10-01 09:05:57.453137+02:00,339.263571,339.263571,85.25,150.0,XPAR
2019-10-01 09:05:57.453137+02:00,339.263571,339.263572,85.25,20.0,XPAR
2019-10-01 09:05:58.207390+02:00,340.017824,340.017824,85.24,90.0,XPAR
2019-10-01 09:05:58.208284+02:00,340.018718,340.018718,85.25,65.0,XPAR
2019-10-01 09:06:03.048254+02:00,344.858688,344.858688,85.28,150.0,XPAR
2019-10-01 09:06:03.054583+02:00,344.865017,344.865017,85.28,14.0,XPAR
2019-10-01 09:06:03.054583+02:00,344.865017,344.865018,85.28,16.0,XPAR
2019-10-01 09:06:04.048585+02:00,345.859019,345.859019,85.27,100.0,XPAR
2019-10-01 09:06:05.721102+02:00,347.531536,347.531536,85.26,65.0,XPAR
2019-10-01 09:06:10.031493+02:00,351.841927,351.841927,85.28,75.0,XPAR
2019-10-01 09:06:10.031583+02:00,351.842017,351.842017,85.28,41.0,XPAR
2019-10-01 09:06:10.031628+02:00,351.842062,351.842062,85.28,45.0,XPAR
