212021,846.8,2.92,,,20140102,00:00:00,20131230,00:00:00,20140102,09:19:20,126873,EUR,16,9483122340,9475636547,,1,0,FR0000072373,02,36,55,1,1,025,290,0000000009,1867316418,A,,,NON,NON
212022,1465.45,2.65,,,20140102,00:00:00,20140102,00:00:00,20140102,17:10:39,350026,EUR,16,9483122320,9483122319,,1,0,FR0000072373,02,3,2,1,1,025,553,0000000064,1867326935,V,,,NON,NON
212023,605.68,2.68,,,20140102,00:00:00,20140102,00:00:00,20140102,17:28:00,313,EUR,16,9483122659,9483122319,,1,0,FR0000072373,02,648,2,1,1,025,226,0000000065,1867341719,,,,NON,NON
212024,321.2,2.92,,,20140102,00:00:00,20140102,00:00:00,20140102,09:00:00,14695,EUR,16,9483122322,9483122328,,1,0,FR0000072373,01,5,11,1,1,025,110,0000000001,1867283370,,,,NON,NON
212025,262.8,2.92,,,20140102,00:00:00,20140102,00:00:00,20140102,09:00:00,14714,EUR,16,9483122326,9483122328,,1,0,FR0000072373,01,9,11,1,1,025,90,0000000002,1866836658,,,,NON,NON
212026,509.25,2.91,,,20140102,00:00:00,20140102,00:00:00,20140102,09:13:22,291897,EUR,16,9483122336,9483122682,,1,0,FR0000072373,02,30,28,1,2,025,175,0000000007,1867283177,A,,,NON,MIX
212027,27.8,2.78,,,20140102,00:00:00,20140102,00:00:00,20140102,09:11:13,179382,EUR,16,9483122334,9483122335,,1,0,FR0000072373,02,27,29,1,1,025,10,0000000005,1866836508,V,,,NON,NON
212028,497.61,2.91,,,20140102,00:00:00,20140102,00:00:00,20140102,09:19:20,126867,EUR,16,9483122340,9483122682,,1,0,FR0000072373,02,36,34,1,2,025,171,0000000008,1867283668,A,,,NON,MIX
212029,1140.0,3.0,,,20140102,00:00:00,20140102,00:00:00,20140102,09:20:37,195184,EUR,16,9483122340,9483122343,,1,0,FR0000072373,02,36,39,1,1,025,380,0000000012,1867326353,V,,,NON,NON
212030,3.0,3.0,,,20140102,00:00:00,20140102,00:00:00,20140102,09:34:36,817915,EUR,16,9483122340,9483122356,,1,0,FR0000072373,02,36,52,1,1,025,1,0000000014,1867302733,V,,,NON,NON
212031,362.34,2.97,,,20140102,00:00:00,20140102,00:00:00,20140102,09:34:36,817923,EUR,16,9483122349,9483122356,,1,0,FR0000072373,02,45,52,1,1,025,122,0000000015,1867338081,V,,,NON,NON
212032,1122.66,2.97,,,20140102,00:00:00,20140102,00:00:00,20140102,09:37:27,743263,EUR,16,9483122349,9483122370,,1,0,FR0000072373,02,45,66,1,1,025,378,0000000017,1867302572,V,,,NON,NON
212033,1445.0,2.89,,,20140102,00:00:00,20140102,00:00:00,20140102,09:37:27,743281,EUR,16,9483122350,9483122370,,1,0,FR0000072373,02,46,66,1,1,025,500,0000000020,1866720625,V,,,NON,NON
212034,2425.72,2.98,,,20140102,00:00:00,20140102,00:00:00,20140102,09:37:27,743256,EUR,16,9483122369,9483122370,,1,0,FR0000072373,02,65,66,1,1,025,814,0000000016,1867102462,V,,,NON,NON
212035,36.4,2.8,,,20140102,00:00:00,20140102,00:00:00,20140102,09:38:25,409772,EUR,16,9483122374,9483122381,,1,0,FR0000072373,02,74,82,1,1,025,13,0000000021,1867283321,V,,,NON,MIX
212036,14.75,2.95,,,20140102,00:00:00,20140102,00:00:00,20140102,09:48:50,315,EUR,16,9483122411,9483122686,,1,0,FR0000072373,02,182,178,1,1,025,5,0000000024,1867343814,,,,NON,MIX
