trade_time_paris,t_seconds,t_seconds_jitter,MiFIDPrice,MiFIDQuantity,Venue
2019-10-01 09:01:38.409892+02:00,80.220326,80.220328,85.25,101.0,XPAR
2019-10-01 09:01:38.410613+02:00,80.221047,80.221047,85.24,133.0,XPAR
2019-10-01 09:01:38.431370+02:00,80.241804,80.241804,85.24,47.0,XPAR
2019-10-01 09:01:38.431450+02:00,80.241884,80.241884,85.24,22.0,XPAR
2019-10-01 09:01:38.437538+02:00,80.247972,80.247972,85.25,43.0,XPAR
2019-10-01 09:01:38.600383+02:00,80.410817,80.410817,85.23,112.0,XPAR
2019-10-01 09:01:39.649962+02:00,81.460396,81.460396,85.19,35.0,XPAR
2019-10-01 09:02:36.801298+02:00,138.611732,138.611732,85.2,10.0,XPAR
2019-10-01 09:02:36.813674+02:00,138.624108,138.624108,85.2,3.0,XPAR
2019-10-01 09:02:36.813674+02:00,138.624108,138.624109,85.2,4.0,XPAR
2019-10-01 09:02:55.247952+02:00,157.058386,157.058386,85.2,3.0,XPAR
2019-10-01 09:02:55.247952+02:00,157.058386,157.058387,85.2,60.0,XPAR
2019-10-01 09:02:55.248772+02:00,157.059206,157.059206,85.18,150.0,XPAR
2019-10-01 09:02:55.248772+02:00,157.059206,157.059207,85.19,100.0,XPAR
2019-10-01 09:03:09.695449+02:00,171.505883,171.505883,85.18,100.0,XPAR
2019-10-01 09:03:09.695449+02:00,171.505883,171.505884,85.18,150.0,XPAR
2019-10-01 09:03:22.971245+02:00,184.781679,184.781679,85.17,13.0,XPAR
2019-10-01 09:03:22.971245+02:00,184.781679,184.78168,85.17,6.0,XPAR
2019-10-01 09:03:22.971245+02:00,184.781679,184.781681,85.17,110.0,XPAR
2019-10-01 09:03:22.971245+02:00,184.781679,184.781682,85.17,27.0,XPAR
2019-10-01 09:03:32.966225+02:00,194.776659,194.776659,85.2,100.0,XPAR
2019-10-01 09:03:32.982221+02:00,194.792655,194.792655,85.19,125.0,XPAR
2019-10-01 09:03:42.486550+02:00,204.296984,204.296984,85.19,77.0,XPAR
2019-10-01 09:03:42.486550+02:00,204.296984,204.296985,85.19,39.0,XPAR
2019-10-01 09:03:55.021278+02:00,216.831712,216.831712,85.22,13.0,XPAR
2019-10-01 09:03:55.021278+02:00,216.831712,216.831713,85.22,70.0,XPAR
2019-10-01 09:03:55.021278+02:00,216.831712,216.831714,85.22,170.0,XPAR
2019-10-01 09:03:55.021278+02:00,216.831712,216.831715,85.24,100.0,XPAR
2019-10-01 09:03:55.021278+02:00,216.831712,216.831716,85.23,150.0,XPAR
2019-10-01 09:03:55.021847+02:00,216.832281,216.832281,85.21,39.0,XPAR
2019-10-01 09:03:55.021847+02:00,216.832281,216.832282,85.21,92.0,XPAR
2019-10-01 09:03:55.021847+02:00,216.832281,216.832283,85.22,123.0,XPAR
2019-10-01 09:03:55.022096+02:00,216.83253,216.83253,85.22,281.0,XPAR
2019-10-01 09:03:55.022272+02:00,216.832706,216.832706,85.22,47.0,XPAR
2019-10-01 09:03:55.022487+02:00,216.832921,216.832921,85.2,20.0,XPAR
2019-10-01 09:03:55.022487+02:00,216.832921,216.832922,85.2,105.0,XPAR
2019-10-01 09:03:55.022487+02:00,216.832921,216.832923,85.2,43.0,XPAR
2019-10-01 09:03:55.022487+02:00,216.832921,216.832924,85.22,185.0,XPAR
2019-10-01 09:03:55.022487+02:00,216.832921,216.832925,85.22,35.0,XPAR
2019-10-01 09:03:55.068105+02:00,216.878539,216.878539,85.23,62.0,XPAR
2019-10-01 09:03:55.610726+02:00,217.42116,217.42116,85.23,150.0,XPAR
2019-10-01 09:03:58.011923+02:00,219.822357,219.822357,85.23,66.0,XPAR
2019-10-01 09:04:22.709849+02:00,244.520283,244.520283,85.23,25.0,XPAR
2019-10-01 09:04:52.092286+02:00,273.90272,273.90272,85.23,6.0,XPAR
2019-10-01 09:04:52.092365+02:00,273.902799,273.902799,85.22,90.0,XPAR
2019-10-01 09:04:52.092365+02:00,273.902799,273.9028,85.22,80.0,XPAR
2019-10-01 09:04:52.092793+02:00,273.903227,273.903227,85.2,37.0,XPAR
2019-10-01 09:04:52.092793+02:00,273.903227,273.903228,85.2,110.0,XPAR
2019-10-01 09:04:52.092793+02:00,273.903227,273.903229,85.2,88.0,XPAR
2019-10-01 09:04:54.438328+02:00,276.248762,276.248762,85.21,90.0,XPAR
2019-10-01 09:04:55.810391+02:00,277.620825,277.620825,85.2,60.0,XPAR
2019-10-01 09:04:55.810391+02:00,277.620825,277.620826,85.2,13.0,XPAR
2019-10-01 09:04:55.843971+02:00,277.654405,277.654405,85.2,47.0,XPAR
2019-10-01 09:05:06.300950+02:00,288.111384,288.111384,85.16,110.0,XPAR
2019-10-01 09:05:06.301752+02:00,288.112186,288.112186,85.15,100.0,XPAR
2019-10-01 09:05:06.301939+02:00,288.112373,288.112373,85.14,66.0,XPAR
2019-10-01 09:05:24.095206+02:00,305.90564,305.90564,85.12,26.0,XPAR
2019-10-01 09:05:24.095440+02:00,305.905874,305.905874,85.1,150.0,XPAR
2019-10-01 09:05:25.349689+02:00,307.160123,307.160123,85.09,6.0,XPAR
2019-10-01 09:05:25.349689+02:00,307.160123,307.160124,85.09,110.0,XPAR
2019-10-01 09:05:30.383680+02:00,312.194114,312.194114,85.07,61.0,XPAR
2019-10-01 09:05:30.389166+02:00,312.1996,312.1996,85.06,20.0,XPAR
2019-10-01 09:05:30.389166+02:00,312.1996,312.199601,85.05,80.0,XPAR
2019-10-01 09:05:30.389226+02:00,312.19966,312.19966,85.05,20.0,XPAR
2019-10-01 09:05:38.241184+02:00,320.051618,320.051618,85.08,140.0,XPAR
2019-10-01 09:05:38.241184+02:00,320.051618,320.051619,85.08,120.0,XPAR
2019-10-01 09:05:45.191271+02:00,327.001705,327.001705,85.1,150.0,XPAR
2019-10-01 09:05:45.191271+02:00,327.001705,327.001706,85.1,24.0,XPAR
2019-10-01 09:05:45.191271+02:00,327.001705,327.001707,85.1,45.0,XPAR
2019-10-01 09:05:45.239181+02:00,327.049615,327.049615,85.1,56.0,XPAR
2019-10-01 09:05:53.358708+02:00,335.169142,335.169142,85.17,23.0,XPAR
2019-10-01 09:05:53.359728+02:00,335.170162,335.170162,85.19,27.0,XPAR
2019-10-01 09:05:53.369430+02:00,335.179864,335.179864,85.16,100.0,XPAR
2019-10-01 09:05:53.369430+02:00,335.179864,335.179865,85.16,69.0,XPAR
2019-10-01 09:05:53.373924+02:00,335.184358,335.184358,85.15,109.0,XPAR
2019-10-01 09:05:54.401144+02:00,336.211578,336.211578,85.18,17.0,XPAR
2019-10-01 09:05:54.490203+02:00,336.300637,336.300637,85.17,100.0,XPAR
2019-10-01 09:05:55.639219+02:00,337.449653,337.449653,85.21,16.0,XPAR
2019-10-01 09:05:55.754143+02:00,337.564577,337.564577,85.22,13.0,XPAR
2019-10-01 09:05:57.452870+02:00,339.263304,339.263304,85.23,66.0,XPAR
2019-10-01 09:05:57.453288+02:00,339.263722,339.263722,85.22,72.0,XPAR
2019-10-01 09:05:58.205219+02:00,340.015653,340.015653,85.22,21.0,XPAR
2019-10-01 09:05:58.207622+02:00,340.018056,340.018056,85.24,69.0,XPAR
2019-10-01 09:05:58.207752+02:00,340.018186,340.018186,85.24,69.0,XPAR
2019-10-01 09:05:58.207823+02:00,340.018257,340.018257,85.24,31.0,XPAR
2019-10-01 09:05:58.335614+02:00,340.146048,340.146048,85.23,150.0,XPAR
2019-10-01 09:05:58.739369+02:00,340.549803,340.549803,85.22,100.0,XPAR
2019-10-01 09:05:59.707390+02:00,341.517824,341.517824,85.25,145.0,XPAR
2019-10-01 09:06:03.047900+02:00,344.858334,344.858334,85.26,100.0,XPAR
2019-10-01 09:06:03.047900+02:00,344.858334,344.858335,85.26,18.0,XPAR
